  In (5,9), the ground is expected to be white, but it is yellow.
  In (5,15), the ground is expected to be white, but it is blue.
  In (5,16), the ground is expected to be green, but it is white.
  In (5,17), the ground is expected to be white, but it is green.
  In (5,18), the ground is expected to be green, but it is white.
  In (5,19), the ground is expected to be white, but it is yellow.
  In (5,20), the ground is expected to be white, but it is blue.
  In (5,21), the ground is expected to be green, but it is white.
  In (5,22), the ground is expected to be white, but it is red.
  In (5,23), the ground is expected to be green, but it is white.
  In (5,24), the ground is expected to be white, but it is yellow.
  In (5,26), the ground is expected to be green, but it is red.
  In (5,28), the ground is expected to be green, but it is red.
  In (5,31), the ground is expected to be green, but it is blue.
  In (5,33), the ground is expected to be green, but it is yellow.
  In (5,36), the ground is expected to be green, but it is white.
  In (5,38), the ground is expected to be green, but it is white.
  In (5,41), the ground is expected to be green, but it is red.
  In (5,43), the ground is expected to be green, but it is red.
  In (6,2), the ground is expected to be green, but it is red.
  In (6,5), the ground is expected to be blue, but it is white.
  In (6,6), the ground is expected to be white, but it is red.
  In (6,7), the ground is expected to be green, but it is white.
  In (6,8), the ground is expected to be white, but it is red.
  In (6,9), the ground is expected to be yellow, but it is white.
  In (6,15), the ground is expected to be blue, but it is white.
  In (6,16), the ground is expected to be white, but it is blue.
  In (6,17), the ground is expected to be green, but it is white.
  In (6,18), the ground is expected to be white, but it is yellow.
  In (6,19), the ground is expected to be yellow, but it is white.
  In (6,20), the ground is expected to be blue, but it is white.
  In (6,21), the ground is expected to be white, but it is red.
  In (6,22), the ground is expected to be green, but it is white.
  In (6,23), the ground is expected to be white, but it is red.
  In (6,24), the ground is expected to be yellow, but it is white.
  In (6,25), the ground is expected to be blue, but it is white.
  In (6,27), the ground is expected to be green, but it is white.
  In (6,29), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be green, but it is red.
  In (6,35), the ground is expected to be blue, but it is white.
  In (6,36), the ground is expected to be white, but it is green.
  In (6,37), the ground is expected to be green, but it is white.
  In (6,38), the ground is expected to be white, but it is green.
  In (6,39), the ground is expected to be yellow, but it is white.
  In (7,1), the ground is expected to be blue, but it is red.
  In (7,3), the ground is expected to be yellow, but it is red.
  In (7,6), the ground is expected to be blue, but it is green.
  In (7,8), the ground is expected to be yellow, but it is green.
  In (7,15), the ground is expected to be white, but it is blue.
  In (7,16), the ground is expected to be blue, but it is white.
  In (7,17), the ground is expected to be white, but it is red.
  In (7,18), the ground is expected to be yellow, but it is white.
  In (7,19), the ground is expected to be white, but it is yellow.
  In (7,20), the ground is expected to be white, but it is blue.
  In (7,21), the ground is expected to be blue, but it is green.
  In (7,22), the ground is expected to be white, but it is green.
  In (7,23), the ground is expected to be yellow, but it is green.
  In (7,24), the ground is expected to be white, but it is yellow.
  In (7,26), the ground is expected to be blue, but it is white.
  In (7,28), the ground is expected to be yellow, but it is white.
  In (7,31), the ground is expected to be blue, but it is red.
  In (7,33), the ground is expected to be yellow, but it is red.
  In (7,35), the ground is expected to be white, but it is blue.
  In (7,36), the ground is expected to be blue, but it is white.
  In (7,37), the ground is expected to be white, but it is green.
  In (7,38), the ground is expected to be yellow, but it is white.
  In (7,39), the ground is expected to be white, but it is yellow.
  In (8,0), the ground is expected to be blue, but it is white.
  In (8,1), the ground is expected to be white, but it is green.
  In (8,2), the ground is expected to be red, but it is white.
  In (8,3), the ground is expected to be white, but it is green.
  In (8,4), the ground is expected to be yellow, but it is white.
  In (8,7), the ground is expected to be red, but it is green.
  In (8,15), the ground is expected to be blue, but it is white.
  In (8,16), the ground is expected to be white, but it is red.
  In (8,17), the ground is expected to be red, but it is white.
  In (8,18), the ground is expected to be white, but it is red.
  In (8,19), the ground is expected to be yellow, but it is white.
  In (8,21), the ground is expected to be white, but it is blue.
  In (8,22), the ground is expected to be red, but it is green.
  In (8,23), the ground is expected to be white, but it is yellow.
  In (8,25), the ground is expected to be blue, but it is white.
  In (8,27), the ground is expected to be red, but it is white.
  In (8,29), the ground is expected to be yellow, but it is white.
  In (8,30), the ground is expected to be blue, but it is white.
  In (8,31), the ground is expected to be white, but it is green.
  In (8,32), the ground is expected to be red, but it is white.
  In (8,33), the ground is expected to be white, but it is green.
  In (8,34), the ground is expected to be yellow, but it is white.
  In (8,35), the ground is expected to be blue, but it is white.
  In (8,36), the ground is expected to be white, but it is blue.
  In (8,37), the ground is expected to be red, but it is white.
  In (8,38), the ground is expected to be white, but it is yellow.
  In (8,39), the ground is expected to be yellow, but it is white.
