  In (37,7), the ground is expected to be light grey, but it is white.
  In (37,13), the ground is expected to be light grey, but it is white.
  In (38,1), the ground is expected to be light grey, but it is white.
  In (38,5), the ground is expected to be light grey, but it is white.
  In (38,8), the ground is expected to be light grey, but it is white.
  In (38,12), the ground is expected to be light grey, but it is white.
  In (39,0), the ground is expected to be light grey, but it is white.
  In (39,6), the ground is expected to be light grey, but it is white.
  In (39,7), the ground is expected to be light grey, but it is white.
  In (39,13), the ground is expected to be light grey, but it is white.
  In (40,3), the ground is expected to be light grey, but it is white.
  In (40,10), the ground is expected to be light grey, but it is white.
  In (41,2), the ground is expected to be light grey, but it is white.
  In (41,4), the ground is expected to be light grey, but it is white.
  In (41,9), the ground is expected to be light grey, but it is white.
  In (41,11), the ground is expected to be light grey, but it is white.
  In (42,2), the ground is expected to be light grey, but it is white.
  In (42,4), the ground is expected to be light grey, but it is white.
  In (42,9), the ground is expected to be light grey, but it is white.
  In (42,11), the ground is expected to be light grey, but it is white.
  In (43,3), the ground is expected to be light grey, but it is white.
  In (43,10), the ground is expected to be light grey, but it is white.
  In (44,0), the ground is expected to be light grey, but it is white.
  In (44,6), the ground is expected to be light grey, but it is white.
  In (44,7), the ground is expected to be light grey, but it is white.
  In (44,13), the ground is expected to be light grey, but it is white.
  In (45,1), the ground is expected to be light grey, but it is white.
  In (45,5), the ground is expected to be light grey, but it is white.
  In (45,8), the ground is expected to be light grey, but it is white.
  In (45,12), the ground is expected to be light grey, but it is white.
  In (46,0), the ground is expected to be light grey, but it is white.
  In (46,6), the ground is expected to be light grey, but it is white.
  In (46,7), the ground is expected to be light grey, but it is white.
  In (46,13), the ground is expected to be light grey, but it is white.
  In (47,3), the ground is expected to be light grey, but it is white.
  In (47,10), the ground is expected to be light grey, but it is white.
  In (48,2), the ground is expected to be light grey, but it is white.
  In (48,4), the ground is expected to be light grey, but it is white.
  In (48,9), the ground is expected to be light grey, but it is white.
  In (48,11), the ground is expected to be light grey, but it is white.
  In (49,2), the ground is expected to be light grey, but it is white.
  In (49,4), the ground is expected to be light grey, but it is white.
  In (49,9), the ground is expected to be light grey, but it is white.
  In (49,11), the ground is expected to be light grey, but it is white.
  In (50,3), the ground is expected to be light grey, but it is white.
  In (50,10), the ground is expected to be light grey, but it is white.
  In (51,0), the ground is expected to be light grey, but it is white.
  In (51,6), the ground is expected to be light grey, but it is white.
  In (51,7), the ground is expected to be light grey, but it is white.
  In (51,13), the ground is expected to be light grey, but it is white.
  In (52,1), the ground is expected to be light grey, but it is white.
  In (52,5), the ground is expected to be light grey, but it is white.
  In (52,8), the ground is expected to be light grey, but it is white.
  In (52,12), the ground is expected to be light grey, but it is white.
  In (53,0), the ground is expected to be light grey, but it is white.
  In (53,6), the ground is expected to be light grey, but it is white.
  In (53,7), the ground is expected to be light grey, but it is white.
  In (53,13), the ground is expected to be light grey, but it is white.
  In (54,3), the ground is expected to be light grey, but it is white.
  In (54,10), the ground is expected to be light grey, but it is white.
  In (55,2), the ground is expected to be light grey, but it is white.
  In (55,4), the ground is expected to be light grey, but it is white.
  In (55,9), the ground is expected to be light grey, but it is white.
  In (55,11), the ground is expected to be light grey, but it is white.
  In (56,2), the ground is expected to be light grey, but it is white.
  In (56,4), the ground is expected to be light grey, but it is white.
  In (56,9), the ground is expected to be light grey, but it is white.
  In (56,11), the ground is expected to be light grey, but it is white.
  In (57,3), the ground is expected to be light grey, but it is white.
  In (57,10), the ground is expected to be light grey, but it is white.
  In (58,0), the ground is expected to be light grey, but it is white.
  In (58,6), the ground is expected to be light grey, but it is white.
  In (58,7), the ground is expected to be light grey, but it is white.
  In (58,13), the ground is expected to be light grey, but it is white.
  In (59,1), the ground is expected to be light grey, but it is white.
