  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (6,23), the ground is expected to be light grey, but it is white.
  In (6,25), the ground is expected to be light grey, but it is white.
  In (6,30), the ground is expected to be light grey, but it is white.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,33), the ground is expected to be white, but it is light grey.
  In (6,35), the ground is expected to be white, but it is light grey.
  In (6,39), the ground is expected to be light grey, but it is white.
  In (6,49), the ground is expected to be white, but it is light grey.
  In (6,53), the ground is expected to be light grey, but it is white.
  In (6,58), the ground is expected to be light grey, but it is white.
  In (6,59), the ground is expected to be white, but it is light grey.
  In (6,60), the ground is expected to be light grey, but it is white.
  In (6,61), the ground is expected to be white, but it is light grey.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,6), the ground is expected to be white, but it is light grey.
  In (7,8), the ground is expected to be white, but it is light grey.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,34), the ground is expected to be white, but it is light grey.
  In (7,36), the ground is expected to be white, but it is light grey.
  In (7,37), the ground is expected to be light grey, but it is white.
  In (7,39), the ground is expected to be light grey, but it is white.
  In (7,43), the ground is expected to be white, but it is light grey.
  In (7,44), the ground is expected to be light grey, but it is white.
  In (7,45), the ground is expected to be white, but it is light grey.
  In (7,46), the ground is expected to be light grey, but it is white.
  In (7,47), the ground is expected to be white, but it is light grey.
  In (7,48), the ground is expected to be white, but it is light grey.
  In (7,50), the ground is expected to be white, but it is light grey.
  In (7,51), the ground is expected to be light grey, but it is white.
  In (7,52), the ground is expected to be white, but it is light grey.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,59), the ground is expected to be white, but it is light grey.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (7,61), the ground is expected to be white, but it is light grey.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,5), the ground is expected to be white, but it is light grey.
  In (8,7), the ground is expected to be white, but it is light grey.
  In (8,9), the ground is expected to be white, but it is light grey.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,24), the ground is expected to be light grey, but it is white.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,34), the ground is expected to be white, but it is light grey.
  In (8,36), the ground is expected to be white, but it is light grey.
  In (8,38), the ground is expected to be light grey, but it is white.
  In (8,44), the ground is expected to be white, but it is light grey.
  In (8,45), the ground is expected to be light grey, but it is white.
  In (8,46), the ground is expected to be white, but it is light grey.
  In (8,49), the ground is expected to be white, but it is light grey.
  In (8,51), the ground is expected to be white, but it is light grey.
  In (8,52), the ground is expected to be light grey, but it is white.
  In (8,58), the ground is expected to be white, but it is light grey.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (8,60), the ground is expected to be white, but it is light grey.
  In (8,62), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,8), the ground is expected to be white, but it is light grey.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,20), the ground is expected to be light grey, but it is white.
  In (9,21), the ground is expected to be light grey, but it is white.
  In (9,27), the ground is expected to be light grey, but it is white.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,33), the ground is expected to be white, but it is light grey.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,37), the ground is expected to be white, but it is light grey.
  In (9,41), the ground is expected to be light grey, but it is white.
