  In (6,27), the ground is expected to be white, but it is light grey.
  In (6,30), the ground is expected to be light grey, but it is white.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,37), the ground is expected to be light grey, but it is white.
  In (6,39), the ground is expected to be light grey, but it is white.
  In (6,51), the ground is expected to be light grey, but it is white.
  In (6,53), the ground is expected to be light grey, but it is white.
  In (6,62), the ground is expected to be white, but it is light grey.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,24), the ground is expected to be white, but it is light grey.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,26), the ground is expected to be white, but it is light grey.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,37), the ground is expected to be light grey, but it is white.
  In (7,39), the ground is expected to be light grey, but it is white.
  In (7,43), the ground is expected to be white, but it is light grey.
  In (7,44), the ground is expected to be light grey, but it is white.
  In (7,45), the ground is expected to be white, but it is light grey.
  In (7,46), the ground is expected to be light grey, but it is white.
  In (7,47), the ground is expected to be white, but it is light grey.
  In (7,51), the ground is expected to be light grey, but it is white.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,59), the ground is expected to be white, but it is light grey.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (7,61), the ground is expected to be white, but it is light grey.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,19), the ground is expected to be white, but it is light grey.
  In (8,21), the ground is expected to be white, but it is light grey.
  In (8,24), the ground is expected to be light grey, but it is white.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,38), the ground is expected to be light grey, but it is white.
  In (8,44), the ground is expected to be white, but it is light grey.
  In (8,45), the ground is expected to be light grey, but it is white.
  In (8,46), the ground is expected to be white, but it is light grey.
  In (8,52), the ground is expected to be light grey, but it is white.
  In (8,58), the ground is expected to be white, but it is light grey.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (8,60), the ground is expected to be white, but it is light grey.
  In (8,62), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,18), the ground is expected to be white, but it is light grey.
  In (9,21), the ground is expected to be light grey, but it is white.
  In (9,22), the ground is expected to be white, but it is light grey.
  In (9,27), the ground is expected to be light grey, but it is white.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,35), the ground is expected to be light grey, but it is white.
  In (9,41), the ground is expected to be light grey, but it is white.
  In (9,42), the ground is expected to be light grey, but it is white.
  In (9,43), the ground is expected to be white, but it is light grey.
  In (9,45), the ground is expected to be white, but it is light grey.
  In (9,47), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,49), the ground is expected to be light grey, but it is white.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,56), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (9,62), the ground is expected to be light grey, but it is white.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,21), the ground is expected to be white, but it is light grey.
  In (10,22), the ground is expected to be light grey, but it is white.
  In (10,26), the ground is expected to be light grey, but it is white.
  In (10,29), the ground is expected to be light grey, but it is white.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,36), the ground is expected to be light grey, but it is white.
  In (10,40), the ground is expected to be light grey, but it is white.
  In (10,43), the ground is expected to be light grey, but it is white.
  In (10,44), the ground is expected to be white, but it is light grey.
  In (10,46), the ground is expected to be white, but it is light grey.
  In (10,47), the ground is expected to be light grey, but it is white.
  In (10,50), the ground is expected to be light grey, but it is white.
  In (10,54), the ground is expected to be light grey, but it is white.
  In (10,57), the ground is expected to be light grey, but it is white.
  In (10,59), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,18), the ground is expected to be white, but it is light grey.
  In (11,21), the ground is expected to be light grey, but it is white.
  In (11,22), the ground is expected to be white, but it is light grey.
  In (11,27), the ground is expected to be light grey, but it is white.
  In (11,28), the ground is expected to be light grey, but it is white.
  In (11,34), the ground is expected to be light grey, but it is white.
  In (11,35), the ground is expected to be light grey, but it is white.
  In (11,39), the ground is expected to be white, but it is light grey.
  In (11,42), the ground is expected to be light grey, but it is white.
  In (11,48), the ground is expected to be light grey, but it is white.
  In (11,49), the ground is expected to be light grey, but it is white.
  In (11,55), the ground is expected to be light grey, but it is white.
  In (11,56), the ground is expected to be light grey, but it is white.
  In (11,58), the ground is expected to be white, but it is light grey.
  In (11,60), the ground is expected to be white, but it is light grey.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,19), the ground is expected to be white, but it is light grey.
  In (12,21), the ground is expected to be white, but it is light grey.
  In (12,24), the ground is expected to be light grey, but it is white.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,40), the ground is expected to be white, but it is light grey.
  In (12,42), the ground is expected to be white, but it is light grey.
  In (12,45), the ground is expected to be light grey, but it is white.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,61), the ground is expected to be white, but it is light grey.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,19), the ground is expected to be white, but it is light grey.
  In (13,21), the ground is expected to be white, but it is light grey.
  In (13,23), the ground is expected to be light grey, but it is white.
  In (13,25), the ground is expected to be light grey, but it is white.
  In (13,30), the ground is expected to be light grey, but it is white.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,37), the ground is expected to be light grey, but it is white.
  In (13,41), the ground is expected to be white, but it is light grey.
  In (13,44), the ground is expected to be light grey, but it is white.
  In (13,46), the ground is expected to be light grey, but it is white.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,53), the ground is expected to be light grey, but it is white.
  In (13,62), the ground is expected to be white, but it is light grey.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,20), the ground is expected to be white, but it is light grey.
  In (14,22), the ground is expected to be white, but it is light grey.
  In (14,23), the ground is expected to be light grey, but it is white.
  In (14,25), the ground is expected to be light grey, but it is white.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,37), the ground is expected to be light grey, but it is white.
  In (14,38), the ground is expected to be white, but it is light grey.
  In (14,39), the ground is expected to be light grey, but it is white.
  In (14,40), the ground is expected to be white, but it is light grey.
  In (14,42), the ground is expected to be white, but it is light grey.
  In (14,44), the ground is expected to be light grey, but it is white.
  In (14,46), the ground is expected to be light grey, but it is white.
  In (14,51), the ground is expected to be light grey, but it is white.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,59), the ground is expected to be white, but it is light grey.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (14,61), the ground is expected to be white, but it is light grey.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,19), the ground is expected to be white, but it is light grey.
  In (15,21), the ground is expected to be white, but it is light grey.
  In (15,24), the ground is expected to be light grey, but it is white.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,39), the ground is expected to be white, but it is light grey.
  In (15,41), the ground is expected to be white, but it is light grey.
  In (15,45), the ground is expected to be light grey, but it is white.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,54), the ground is expected to be white, but it is light grey.
  In (15,56), the ground is expected to be white, but it is light grey.
  In (15,59), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,18), the ground is expected to be white, but it is light grey.
  In (16,21), the ground is expected to be light grey, but it is white.
  In (16,22), the ground is expected to be white, but it is light grey.
  In (16,27), the ground is expected to be light grey, but it is white.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,34), the ground is expected to be light grey, but it is white.
  In (16,35), the ground is expected to be light grey, but it is white.
  In (16,39), the ground is expected to be white, but it is light grey.
  In (16,42), the ground is expected to be light grey, but it is white.
  In (16,48), the ground is expected to be light grey, but it is white.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,53), the ground is expected to be white, but it is light grey.
  In (16,56), the ground is expected to be light grey, but it is white.
  In (16,57), the ground is expected to be white, but it is light grey.
  In (16,62), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,21), the ground is expected to be white, but it is light grey.
  In (17,22), the ground is expected to be light grey, but it is white.
  In (17,26), the ground is expected to be light grey, but it is white.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,33), the ground is expected to be light grey, but it is white.
  In (17,36), the ground is expected to be light grey, but it is white.
  In (17,38), the ground is expected to be white, but it is light grey.
  In (17,42), the ground is expected to be white, but it is light grey.
  In (17,43), the ground is expected to be light grey, but it is white.
  In (17,47), the ground is expected to be light grey, but it is white.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,56), the ground is expected to be white, but it is light grey.
  In (17,57), the ground is expected to be light grey, but it is white.
  In (17,61), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,19), the ground is expected to be white, but it is light grey.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (18,27), the ground is expected to be light grey, but it is white.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,34), the ground is expected to be light grey, but it is white.
  In (18,35), the ground is expected to be light grey, but it is white.
  In (18,39), the ground is expected to be white, but it is light grey.
  In (18,42), the ground is expected to be light grey, but it is white.
  In (18,48), the ground is expected to be light grey, but it is white.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,53), the ground is expected to be white, but it is light grey.
  In (18,56), the ground is expected to be light grey, but it is white.
  In (18,57), the ground is expected to be white, but it is light grey.
  In (18,62), the ground is expected to be light grey, but it is white.
  In (19,3), the ground is expected to be light grey, but it is white.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,18), the ground is expected to be white, but it is light grey.
  In (19,20), the ground is expected to be white, but it is light grey.
  In (19,22), the ground is expected to be white, but it is light grey.
  In (19,24), the ground is expected to be light grey, but it is white.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,40), the ground is expected to be white, but it is light grey.
  In (19,42), the ground is expected to be white, but it is light grey.
  In (19,45), the ground is expected to be light grey, but it is white.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,54), the ground is expected to be white, but it is light grey.
  In (19,56), the ground is expected to be white, but it is light grey.
  In (19,59), the ground is expected to be light grey, but it is white.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,19), the ground is expected to be white, but it is light grey.
  In (20,21), the ground is expected to be white, but it is light grey.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,25), the ground is expected to be light grey, but it is white.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,37), the ground is expected to be light grey, but it is white.
  In (20,41), the ground is expected to be white, but it is light grey.
  In (20,44), the ground is expected to be light grey, but it is white.
  In (20,46), the ground is expected to be light grey, but it is white.
  In (20,51), the ground is expected to be light grey, but it is white.
  In (20,53), the ground is expected to be light grey, but it is white.
  In (20,54), the ground is expected to be white, but it is light grey.
  In (20,56), the ground is expected to be white, but it is light grey.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (21,2), the ground is expected to be light grey, but it is white.
  In (21,4), the ground is expected to be light grey, but it is white.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,20), the ground is expected to be white, but it is light grey.
  In (21,22), the ground is expected to be white, but it is light grey.
  In (21,23), the ground is expected to be light grey, but it is white.
  In (21,25), the ground is expected to be light grey, but it is white.
  In (21,30), the ground is expected to be light grey, but it is white.
  In (21,32), the ground is expected to be light grey, but it is white.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,41), the ground is expected to be white, but it is light grey.
  In (21,44), the ground is expected to be light grey, but it is white.
  In (21,46), the ground is expected to be light grey, but it is white.
  In (21,51), the ground is expected to be light grey, but it is white.
  In (21,55), the ground is expected to be white, but it is light grey.
  In (21,57), the ground is expected to be white, but it is light grey.
  In (21,58), the ground is expected to be light grey, but it is white.
  In (21,60), the ground is expected to be light grey, but it is white.
  In (22,3), the ground is expected to be light grey, but it is white.
  In (22,10), the ground is expected to be light grey, but it is white.
  In (22,17), the ground is expected to be light grey, but it is white.
  In (22,19), the ground is expected to be white, but it is light grey.
  In (22,21), the ground is expected to be white, but it is light grey.
  In (22,24), the ground is expected to be light grey, but it is white.
  In (22,31), the ground is expected to be light grey, but it is white.
  In (22,40), the ground is expected to be white, but it is light grey.
  In (22,42), the ground is expected to be white, but it is light grey.
  In (22,45), the ground is expected to be light grey, but it is white.
  In (22,52), the ground is expected to be light grey, but it is white.
  In (22,54), the ground is expected to be white, but it is light grey.
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,59), the ground is expected to be light grey, but it is white.
