  In (4,44), the ground is expected to be white, but it is light grey.
  In (4,45), the ground is expected to be white, but it is light grey.
  In (4,47), the ground is expected to be white, but it is light grey.
  In (4,48), the ground is expected to be light grey, but it is white.
  In (4,49), the ground is expected to be light grey, but it is white.
  In (4,55), the ground is expected to be light grey, but it is white.
  In (4,56), the ground is expected to be light grey, but it is white.
  In (4,59), the ground is expected to be white, but it is light grey.
  In (4,61), the ground is expected to be white, but it is light grey.
  In (5,3), the ground is expected to be light grey, but it is white.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (5,17), the ground is expected to be light grey, but it is white.
  In (5,24), the ground is expected to be light grey, but it is white.
  In (5,31), the ground is expected to be light grey, but it is white.
  In (5,38), the ground is expected to be light grey, but it is white.
  In (5,45), the ground is expected to be light grey, but it is white.
  In (5,52), the ground is expected to be light grey, but it is white.
  In (5,59), the ground is expected to be light grey, but it is white.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (6,23), the ground is expected to be light grey, but it is white.
  In (6,25), the ground is expected to be light grey, but it is white.
  In (6,30), the ground is expected to be light grey, but it is white.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,37), the ground is expected to be light grey, but it is white.
  In (6,39), the ground is expected to be light grey, but it is white.
  In (6,44), the ground is expected to be light grey, but it is white.
  In (6,46), the ground is expected to be light grey, but it is white.
  In (6,51), the ground is expected to be light grey, but it is white.
  In (6,53), the ground is expected to be light grey, but it is white.
  In (6,58), the ground is expected to be light grey, but it is white.
  In (6,60), the ground is expected to be light grey, but it is white.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,37), the ground is expected to be light grey, but it is white.
  In (7,39), the ground is expected to be light grey, but it is white.
  In (7,44), the ground is expected to be light grey, but it is white.
  In (7,46), the ground is expected to be light grey, but it is white.
  In (7,51), the ground is expected to be light grey, but it is white.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,24), the ground is expected to be light grey, but it is white.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,38), the ground is expected to be light grey, but it is white.
  In (8,45), the ground is expected to be light grey, but it is white.
  In (8,52), the ground is expected to be light grey, but it is white.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,1), the ground is expected to be white, but it is light grey.
  In (9,2), the ground is expected to be white, but it is light grey.
  In (9,4), the ground is expected to be white, but it is light grey.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
