The turtle Hawksbill is at the right location.  There is 181 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x88,434 y222,801 / x211,566 y65,199 / black) 
   Line (x89,818 y64,136 / x210,182 y223,864 / black) 
   Line (x89,818 y223,864 / x210,182 y64,136 / black) 
   Line (x91,221 y63,098 / x208,779 y224,902 / black) 
   Line (x91,221 y224,902 / x208,779 y63,098 / black) 
   Line (x92,642 y62,085 / x207,358 y225,915 / black) 
   Line (x92,642 y225,915 / x207,358 y62,085 / black) 
   Line (x94,081 y61,096 / x205,919 y226,904 / black) 
   Line (x94,081 y226,904 / x205,919 y61,096 / black) 
   Line (x95,536 y60,133 / x204,464 y227,867 / black) 
   Line (x95,536 y227,867 / x204,464 y60,133 / black) 
   Line (x97,008 y59,195 / x202,992 y228,805 / black) 
   Line (x97,008 y228,805 / x202,992 y59,195 / black) 
   Line (x98,496 y58,283 / x201,504 y229,717 / black) 
   Line (x98,496 y229,717 / x201,504 y58,283 / black) 
   Line (x100,000 y57,397 / x200,000 y230,603 / black) 
   Line (x100,000 y230,603 / x200,000 y57,397 / black) 
   Line (x101,519 y56,538 / x198,481 y231,462 / black) 
   Line (x101,519 y231,462 / x198,481 y56,538 / black) 
   Line (x103,053 y55,705 / x196,947 y232,295 / black) 
   Line (x103,053 y232,295 / x196,947 y55,705 / black) 
   Line (x104,601 y54,899 / x195,399 y233,101 / black) 
   Line (x104,601 y233,101 / x195,399 y54,899 / black) 
   Line (x106,163 y54,121 / x193,837 y233,879 / black) 
   Line (x106,163 y233,879 / x193,837 y54,121 / black) 
   Line (x107,738 y53,369 / x192,262 y234,631 / black) 
   Line (x107,738 y234,631 / x192,262 y53,369 / black) 
   Line (x109,326 y52,645 / x190,674 y235,355 / black) 
   Line (x109,326 y235,355 / x190,674 y52,645 / black) 
   Line (x110,927 y51,950 / x189,073 y236,050 / black) 
   Line (x110,927 y236,050 / x189,073 y51,950 / black) 
   Line (x112,539 y51,282 / x187,461 y236,718 / black) 
   Line (x112,539 y236,718 / x187,461 y51,282 / black) 
   Line (x114,163 y50,642 / x185,837 y237,358 / black) 
   Line (x114,163 y237,358 / x185,837 y50,642 / black) 
   Line (x115,798 y50,031 / x184,202 y237,969 / red) 
   Line (x115,798 y237,969 / x184,202 y50,031 / black) 
   Line (x117,443 y49,448 / x182,557 y238,552 / red) 
   Line (x117,443 y238,552 / x182,557 y49,448 / red) 
   Line (x119,098 y48,894 / x180,902 y239,106 / red) 
   Line (x119,098 y239,106 / x180,902 y48,894 / red) 
   Line (x120,763 y48,370 / x179,237 y239,630 / red) 
   Line (x120,763 y239,630 / x179,237 y48,370 / red) 
   Line (x122,436 y47,874 / x177,564 y240,126 / red) 
   Line (x122,436 y240,126 / x177,564 y47,874 / red) 
   Line (x124,118 y47,407 / x175,882 y240,593 / red) 
   Line (x124,118 y240,593 / x175,882 y47,407 / red) 
   Line (x125,808 y46,970 / x174,192 y241,030 / red) 
   Line (x125,808 y241,030 / x174,192 y46,970 / red) 
   Line (x127,505 y46,563 / x172,495 y241,437 / red) 
   Line (x127,505 y241,437 / x172,495 y46,563 / red) 
   Line (x129,209 y46,185 / x170,791 y241,815 / red) 
   Line (x129,209 y241,815 / x170,791 y46,185 / red) 
   Line (x130,919 y45,837 / x169,081 y242,163 / red) 
   Line (x130,919 y242,163 / x169,081 y45,837 / red) 
   Line (x132,635 y45,519 / x167,365 y242,481 / red) 
   Line (x132,635 y242,481 / x167,365 y45,519 / red) 
   Line (x134,357 y45,231 / x165,643 y242,769 / red) 
   Line (x134,357 y242,769 / x165,643 y45,231 / red) 
   Line (x136,083 y44,973 / x163,917 y243,027 / red) 
   Line (x136,083 y243,027 / x163,917 y44,973 / red) 
   Line (x137,813 y44,745 / x162,187 y243,255 / red) 
   Line (x137,813 y243,255 / x162,187 y44,745 / red) 
   Line (x139,547 y44,548 / x160,453 y243,452 / red) 
   Line (x139,547 y243,452 / x160,453 y44,548 / red) 
   Line (x141,284 y44,381 / x158,716 y243,619 / red) 
   Line (x141,284 y243,619 / x158,716 y44,381 / red) 
   Line (x143,024 y44,244 / x156,976 y243,756 / red) 
   Line (x143,024 y243,756 / x156,976 y44,244 / red) 
   Line (x144,766 y44,137 / x155,234 y243,863 / red) 
   Line (x144,766 y243,863 / x155,234 y44,137 / red) 
   Line (x146,510 y44,061 / x153,490 y243,939 / red) 
   Line (x146,510 y243,939 / x153,490 y44,061 / red) 
   Line (x148,255 y44,015 / x151,745 y243,985 / red) 
   Line (x148,255 y243,985 / x151,745 y44,015 / red) 
   Line (x150,000 y44,000 / x150,000 y150,000 / black) 
   Line (x150,000 y144,000 / x150,000 y244,000 / red) 
Missing shapes in your solution:
   Line (x50,000 y150,000 / x250,000 y150,000 / red) 
   Line (x50,015 y148,255 / x249,985 y151,745 / red) 
   Line (x50,015 y151,745 / x249,985 y148,255 / red) 
   Line (x50,061 y146,510 / x249,939 y153,490 / red) 
   Line (x50,061 y153,490 / x249,939 y146,510 / red) 
   Line (x50,137 y144,766 / x249,863 y155,234 / red) 
   Line (x50,137 y155,234 / x249,863 y144,766 / red) 
   Line (x50,244 y143,024 / x249,756 y156,976 / red) 
   Line (x50,244 y156,976 / x249,756 y143,024 / red) 
   Line (x50,381 y141,284 / x249,619 y158,716 / red) 
   Line (x50,381 y158,716 / x249,619 y141,284 / red) 
   Line (x50,548 y139,547 / x249,452 y160,453 / red) 
   Line (x50,548 y160,453 / x249,452 y139,547 / red) 
   Line (x50,745 y137,813 / x249,255 y162,187 / red) 
   Line (x50,745 y162,187 / x249,255 y137,813 / red) 
   Line (x50,973 y136,083 / x249,027 y163,917 / red) 
   Line (x50,973 y163,917 / x249,027 y136,083 / red) 
   Line (x51,231 y134,357 / x248,769 y165,643 / red) 
   Line (x51,231 y165,643 / x248,769 y134,357 / red) 
   Line (x51,519 y132,635 / x248,481 y167,365 / black) 
   Line (x51,519 y167,365 / x248,481 y132,635 / red) 
   Line (x51,837 y130,919 / x248,163 y169,081 / black) 
   Line (x51,837 y169,081 / x248,163 y130,919 / black) 
   Line (x52,185 y129,209 / x247,815 y170,791 / black) 
   Line (x52,185 y170,791 / x247,815 y129,209 / black) 
   Line (x52,563 y127,505 / x247,437 y172,495 / black) 
   Line (x52,563 y172,495 / x247,437 y127,505 / black) 
   Line (x52,970 y125,808 / x247,030 y174,192 / black) 
   Line (x52,970 y174,192 / x247,030 y125,808 / black) 
   Line (x53,407 y124,118 / x246,593 y175,882 / black) 
   Line (x53,407 y175,882 / x246,593 y124,118 / black) 
   Line (x53,874 y122,436 / x246,126 y177,564 / black) 
   Line (x53,874 y177,564 / x246,126 y122,436 / black) 
   Line (x54,370 y120,763 / x245,630 y179,237 / black) 
   Line (x54,370 y179,237 / x245,630 y120,763 / black) 
   Line (x54,894 y119,098 / x245,106 y180,902 / black) 
   Line (x54,894 y180,902 / x245,106 y119,098 / black) 
   Line (x55,448 y117,443 / x244,552 y182,557 / black) 
   Line (x55,448 y182,557 / x244,552 y117,443 / black) 
   Line (x56,031 y115,798 / x243,969 y184,202 / black) 
   Line (x56,031 y184,202 / x243,969 y115,798 / black) 
   Line (x56,642 y114,163 / x243,358 y185,837 / black) 
   Line (x56,642 y185,837 / x243,358 y114,163 / black) 
   Line (x57,282 y112,539 / x242,718 y187,461 / black) 
   Line (x57,282 y187,461 / x242,718 y112,539 / black) 
   Line (x57,950 y110,927 / x242,050 y189,073 / black) 
   Line (x57,950 y189,073 / x242,050 y110,927 / black) 
   Line (x58,645 y109,326 / x241,355 y190,674 / black) 
   Line (x58,645 y190,674 / x241,355 y109,326 / black) 
   Line (x59,369 y107,738 / x240,631 y192,262 / black) 
   Line (x59,369 y192,262 / x240,631 y107,738 / black) 
   Line (x60,121 y106,163 / x239,879 y193,837 / black) 
   Line (x60,121 y193,837 / x239,879 y106,163 / black) 
