The turtle Hawksbill is not heading to the right direction.  There is 249 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x140,415 y249,540 / x150,000 y150,000 / red) 
   Line (x142,154 y249,692 / x157,846 y50,308 / red) 
   Line (x143,895 y249,813 / x150,000 y150,000 / red) 
   Line (x145,638 y249,905 / x150,000 y150,000 / red) 
   Line (x147,382 y249,966 / x152,618 y50,034 / red) 
   Line (x150,000 y50,000 / x150,873 y249,996 / black) 
   Line (x150,000 y150,000 / x151,309 y50,009 / black) 
   Line (x150,000 y150,000 / x152,618 y249,966 / red) 
   Line (x150,000 y150,000 / x153,926 y50,077 / black) 
   Line (x150,000 y150,000 / x154,362 y249,905 / red) 
   Line (x150,000 y150,000 / x155,234 y50,137 / black) 
   Line (x150,000 y150,000 / x156,105 y249,813 / red) 
   Line (x150,000 y150,000 / x156,540 y50,214 / black) 
   Line (x150,000 y150,000 / x157,846 y249,692 / red) 
   Line (x150,000 y150,000 / x159,150 y50,420 / black) 
   Line (x150,000 y150,000 / x159,585 y249,540 / red) 
   Line (x150,000 y150,000 / x160,453 y50,548 / black) 
   Line (x150,000 y150,000 / x161,320 y249,357 / red) 
   Line (x150,000 y150,000 / x161,754 y50,693 / black) 
   Line (x150,000 y150,000 / x163,053 y249,144 / red) 
   Line (x150,000 y150,000 / x164,781 y248,902 / red) 
   Line (x150,000 y150,000 / x166,505 y248,629 / red) 
   Line (x150,000 y150,000 / x168,224 y248,325 / red) 
   Line (x150,000 y150,000 / x169,937 y247,992 / red) 
   Line (x150,000 y150,000 / x171,218 y52,277 / red) 
   Line (x150,000 y150,000 / x171,644 y247,630 / red) 
   Line (x150,000 y150,000 / x172,920 y52,662 / red) 
   Line (x150,000 y150,000 / x172,920 y247,338 / black) 
   Line (x150,000 y150,000 / x174,192 y247,030 / black) 
   Line (x150,000 y150,000 / x175,460 y246,705 / black) 
   Line (x150,000 y150,000 / x176,303 y53,521 / red) 
   Line (x150,000 y150,000 / x176,724 y246,363 / black) 
   Line (x150,000 y150,000 / x177,983 y53,995 / red) 
   Line (x150,000 y150,000 / x177,983 y246,005 / black) 
   Line (x150,000 y150,000 / x179,237 y245,630 / black) 
   Line (x150,000 y150,000 / x180,486 y245,240 / black) 
   Line (x150,000 y150,000 / x181,316 y55,030 / red) 
   Line (x150,000 y150,000 / x181,730 y244,832 / black) 
   Line (x150,000 y150,000 / x182,969 y55,591 / red) 
   Line (x150,000 y150,000 / x182,969 y244,409 / black) 
   Line (x150,000 y150,000 / x184,202 y243,969 / black) 
