The turtle Hawksbill is not heading to the right direction.  There is 294 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x83,738 y224,896 / x216,588 y75,394 / red) 
   Line (x84,394 y74,529 / x150,000 y150,000 / red) 
   Line (x84,724 y225,756 / x150,000 y150,000 / black) 
   Line (x85,721 y73,396 / x150,000 y150,000 / red) 
   Line (x85,721 y226,604 / x150,000 y150,000 / black) 
   Line (x86,729 y227,439 / x213,271 y72,561 / black) 
   Line (x87,068 y72,285 / x212,932 y227,715 / red) 
   Line (x87,749 y228,261 / x150,000 y150,000 / black) 
   Line (x88,778 y229,069 / x150,000 y150,000 / black) 
   Line (x89,471 y70,400 / x150,000 y150,000 / black) 
   Line (x89,818 y229,864 / x150,000 y150,000 / black) 
   Line (x90,518 y69,614 / x150,000 y150,000 / black) 
   Line (x90,869 y230,644 / x209,131 y69,356 / black) 
   Line (x91,575 y68,843 / x150,000 y150,000 / black) 
   Line (x91,930 y231,412 / x150,000 y150,000 / black) 
   Line (x93,000 y232,165 / x150,000 y150,000 / black) 
   Line (x93,720 y67,341 / x150,000 y150,000 / black) 
   Line (x94,081 y232,904 / x150,000 y150,000 / black) 
   Line (x94,806 y66,611 / x150,000 y150,000 / black) 
   Line (x95,171 y233,629 / x204,829 y66,371 / black) 
   Line (x95,903 y65,896 / x150,000 y150,000 / black) 
   Line (x96,270 y234,339 / x150,000 y150,000 / black) 
   Line (x97,379 y235,035 / x150,000 y150,000 / black) 
   Line (x98,123 y64,509 / x150,000 y150,000 / black) 
   Line (x98,496 y235,717 / x150,000 y150,000 / black) 
   Line (x99,246 y63,837 / x150,000 y150,000 / black) 
   Line (x99,623 y236,384 / x200,377 y63,616 / black) 
   Line (x100,378 y63,180 / x150,000 y150,000 / black) 
   Line (x100,758 y237,036 / x150,000 y150,000 / black) 
   Line (x101,901 y237,673 / x150,000 y150,000 / black) 
   Line (x102,668 y61,911 / x150,000 y150,000 / black) 
   Line (x103,053 y238,295 / x150,000 y150,000 / black) 
   Line (x103,825 y61,299 / x150,000 y150,000 / black) 
   Line (x104,213 y238,902 / x195,787 y61,098 / black) 
   Line (x104,990 y60,702 / x150,000 y150,000 / black) 
   Line (x105,380 y239,493 / x150,000 y150,000 / black) 
   Line (x106,555 y240,070 / x150,000 y150,000 / black) 
   Line (x107,343 y59,554 / x150,000 y150,000 / black) 
   Line (x107,738 y240,631 / x150,000 y150,000 / black) 
   Line (x108,531 y59,004 / x150,000 y150,000 / black) 
   Line (x108,928 y241,176 / x191,072 y58,824 / black) 
   Line (x109,725 y58,469 / x150,000 y150,000 / black) 
   Line (x110,125 y241,706 / x150,000 y150,000 / black) 
   Line (x111,329 y242,220 / x150,000 y150,000 / black) 
   Line (x112,135 y57,446 / x150,000 y150,000 / black) 
   Line (x112,539 y242,718 / x150,000 y150,000 / black) 
   Line (x113,350 y56,958 / x150,000 y150,000 / black) 
   Line (x113,756 y243,201 / x186,244 y56,799 / black) 
   Line (x114,571 y56,486 / x150,000 y150,000 / black) 
   Line (x115,388 y243,819 / x184,612 y56,181 / red) 
   Line (x115,798 y56,031 / x184,202 y243,969 / black) 
   Line (x117,031 y55,591 / x150,000 y150,000 / black) 
   Line (x117,031 y244,409 / x150,000 y150,000 / red) 
   Line (x118,270 y55,168 / x150,000 y150,000 / black) 
   Line (x118,684 y244,970 / x150,000 y150,000 / red) 
   Line (x119,514 y54,760 / x150,000 y150,000 / red) 
   Line (x120,346 y245,502 / x179,654 y54,498 / red) 
   Line (x121,180 y54,243 / x178,820 y245,757 / red) 
   Line (x122,017 y246,005 / x150,000 y150,000 / red) 
   Line (x122,856 y53,754 / x150,000 y150,000 / red) 
   Line (x123,697 y246,479 / x150,000 y150,000 / red) 
   Line (x124,540 y53,295 / x150,000 y150,000 / red) 
   Line (x125,385 y246,923 / x174,615 y53,077 / red) 
   Line (x126,231 y52,866 / x173,769 y247,134 / red) 
   Line (x127,080 y247,338 / x150,000 y150,000 / red) 
   Line (x127,930 y52,466 / x150,000 y150,000 / red) 
   Line (x128,782 y247,723 / x150,000 y150,000 / red) 
   Line (x129,636 y52,095 / x150,000 y150,000 / red) 
   Line (x130,491 y248,079 / x169,509 y51,921 / red) 
   Line (x131,348 y51,755 / x168,652 y248,245 / red) 
   Line (x132,206 y248,404 / x150,000 y150,000 / red) 
   Line (x133,065 y51,444 / x150,000 y150,000 / red) 
   Line (x133,926 y248,700 / x150,000 y150,000 / red) 
   Line (x134,788 y51,164 / x150,000 y150,000 / red) 
   Line (x135,651 y248,965 / x164,349 y51,035 / red) 
   Line (x136,515 y50,913 / x163,485 y249,087 / red) 
   Line (x137,380 y249,200 / x150,000 y150,000 / red) 
   Line (x138,246 y50,693 / x150,000 y150,000 / red) 
   Line (x139,113 y249,406 / x150,000 y150,000 / red) 
   Line (x139,981 y50,503 / x150,000 y150,000 / red) 
   Line (x140,850 y249,580 / x159,150 y50,420 / red) 
   Line (x141,719 y50,343 / x158,281 y249,657 / red) 
   Line (x142,589 y249,725 / x150,000 y150,000 / red) 
   Line (x143,460 y50,214 / x150,000 y150,000 / red) 
   Line (x144,331 y249,839 / x150,000 y150,000 / red) 
   Line (x145,202 y50,115 / x150,000 y150,000 / red) 
   Line (x146,074 y249,923 / x153,926 y50,077 / red) 
   Line (x146,946 y50,047 / x153,054 y249,953 / red) 
   Line (x147,819 y249,976 / x152,181 y50,024 / red) 
   Line (x148,691 y50,009 / x150,000 y150,000 / red) 
   Line (x150,000 y50,000 / x150,436 y50,001 / black) 
   Line (x150,000 y150,000 / x150,436 y249,999 / black) 
   Line (x150,000 y150,000 / x151,309 y50,009 / black) 
   Line (x150,000 y150,000 / x151,745 y249,985 / black) 
   Line (x150,000 y150,000 / x152,618 y50,034 / black) 
   Line (x150,000 y150,000 / x154,362 y249,905 / black) 
   Line (x150,000 y150,000 / x155,234 y50,137 / black) 
   Line (x150,000 y150,000 / x155,669 y249,839 / black) 
   Line (x150,000 y150,000 / x156,540 y50,214 / black) 
   Line (x150,000 y150,000 / x156,976 y249,756 / black) 
   Line (x150,000 y150,000 / x157,846 y50,308 / black) 
   Line (x150,000 y150,000 / x159,585 y249,540 / black) 
   Line (x150,000 y150,000 / x160,453 y50,548 / black) 
   Line (x150,000 y150,000 / x160,887 y249,406 / black) 
   Line (x150,000 y150,000 / x161,754 y50,693 / black) 
   Line (x150,000 y150,000 / x162,187 y249,255 / black) 
   Line (x150,000 y150,000 / x163,053 y50,856 / black) 
   Line (x150,000 y150,000 / x164,781 y248,902 / black) 
   Line (x150,000 y150,000 / x165,643 y51,231 / black) 
   Line (x150,000 y150,000 / x166,074 y248,700 / black) 
   Line (x150,000 y150,000 / x166,935 y51,444 / black) 
   Line (x150,000 y150,000 / x167,365 y248,481 / black) 
   Line (x150,000 y150,000 / x168,224 y51,675 / black) 
   Line (x150,000 y150,000 / x169,937 y247,992 / black) 
   Line (x150,000 y150,000 / x170,791 y52,185 / black) 
   Line (x150,000 y150,000 / x171,218 y247,723 / black) 
   Line (x150,000 y150,000 / x172,070 y52,466 / black) 
   Line (x150,000 y150,000 / x172,495 y247,437 / black) 
   Line (x150,000 y150,000 / x173,345 y52,763 / black) 
   Line (x150,000 y150,000 / x175,038 y246,815 / black) 
   Line (x150,000 y150,000 / x175,882 y53,407 / black) 
   Line (x150,000 y150,000 / x176,303 y246,479 / black) 
   Line (x150,000 y150,000 / x177,144 y53,754 / black) 
   Line (x150,000 y150,000 / x177,564 y246,126 / black) 
   Line (x150,000 y150,000 / x178,402 y54,118 / black) 
   Line (x150,000 y150,000 / x180,071 y245,372 / black) 
   Line (x150,000 y150,000 / x180,902 y54,894 / black) 
   Line (x150,000 y150,000 / x181,316 y244,970 / black) 
   Line (x150,000 y150,000 / x182,144 y55,307 / black) 
   Line (x150,000 y150,000 / x182,557 y244,552 / black) 
   Line (x150,000 y150,000 / x183,381 y55,736 / black) 
   Line (x150,000 y150,000 / x185,837 y243,358 / red) 
   Line (x150,000 y150,000 / x187,461 y242,718 / red) 
   Line (x150,000 y150,000 / x187,865 y57,446 / red) 
   Line (x150,000 y150,000 / x189,474 y58,121 / red) 
   Line (x150,000 y150,000 / x190,674 y241,355 / red) 
   Line (x150,000 y150,000 / x192,262 y240,631 / red) 
   Line (x150,000 y150,000 / x192,657 y59,554 / red) 
   Line (x150,000 y150,000 / x194,229 y60,313 / red) 
   Line (x150,000 y150,000 / x195,399 y239,101 / red) 
   Line (x150,000 y150,000 / x196,947 y238,295 / red) 
   Line (x150,000 y150,000 / x197,332 y61,911 / red) 
   Line (x150,000 y150,000 / x198,862 y62,750 / red) 
   Line (x150,000 y150,000 / x200,000 y236,603 / red) 
   Line (x150,000 y150,000 / x201,504 y235,717 / red) 
   Line (x150,000 y150,000 / x201,877 y64,509 / red) 
   Line (x150,000 y150,000 / x203,361 y65,427 / red) 
   Line (x150,000 y150,000 / x204,464 y233,867 / red) 
   Line (x150,000 y150,000 / x205,919 y232,904 / red) 
   Line (x150,000 y150,000 / x206,280 y67,341 / red) 
   Line (x150,000 y150,000 / x207,715 y68,336 / red) 
   Line (x150,000 y150,000 / x208,779 y230,902 / red) 
   Line (x150,000 y150,000 / x210,182 y229,864 / red) 
   Line (x150,000 y150,000 / x210,529 y70,400 / red) 
   Line (x150,000 y150,000 / x211,909 y71,468 / red) 
   Line (x150,000 y150,000 / x213,944 y226,884 / black) 
   Line (x150,000 y150,000 / x214,612 y73,677 / black) 
   Line (x150,000 y150,000 / x214,945 y226,041 / black) 
   Line (x150,000 y150,000 / x215,606 y74,529 / black) 
   Line (x150,000 y150,000 / x215,935 y225,184 / black) 
   Line (x150,000 y150,000 / x218,835 y222,537 / black) 
