The amount of steps is wrong: 8342 is not 0
  In (9,34), the ground is expected to be yellow, but it is white.
  In (9,37), the ground is expected to be yellow, but it is white.
  In (9,39), the ground is expected to be yellow, but it is white.
  In (9,41), the ground is expected to be yellow, but it is white.
  In (9,44), the ground is expected to be yellow, but it is white.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,49), the ground is expected to be yellow, but it is white.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,56), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is white.
  In (9,58), the ground is expected to be yellow, but it is white.
  In (9,79), the ground is expected to be white, but it is yellow.
  In (9,83), the ground is expected to be white, but it is red.
  In (9,95), the ground is expected to be white, but it is red.
  In (9,99), the ground is expected to be white, but it is yellow.
  In (10,11), the ground is expected to be white, but it is yellow.
  In (10,15), the ground is expected to be white, but it is red.
  In (10,17), the ground is expected to be white, but it is yellow.
  In (10,21), the ground is expected to be white, but it is red.
  In (10,31), the ground is expected to be yellow, but it is white.
  In (10,36), the ground is expected to be yellow, but it is white.
  In (10,41), the ground is expected to be yellow, but it is white.
  In (10,47), the ground is expected to be yellow, but it is white.
  In (10,48), the ground is expected to be yellow, but it is white.
  In (10,49), the ground is expected to be yellow, but it is white.
  In (10,56), the ground is expected to be yellow, but it is white.
  In (10,58), the ground is expected to be yellow, but it is white.
  In (10,78), the ground is expected to be white, but it is yellow.
  In (10,82), the ground is expected to be white, but it is red.
  In (10,94), the ground is expected to be white, but it is red.
  In (10,98), the ground is expected to be white, but it is yellow.
  In (11,12), the ground is expected to be white, but it is yellow.
  In (11,16), the ground is expected to be white, but it is red.
  In (11,18), the ground is expected to be white, but it is yellow.
  In (11,22), the ground is expected to be white, but it is red.
  In (11,31), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,35), the ground is expected to be yellow, but it is white.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is white.
  In (11,43), the ground is expected to be yellow, but it is white.
  In (11,44), the ground is expected to be yellow, but it is white.
  In (11,48), the ground is expected to be yellow, but it is white.
  In (11,49), the ground is expected to be yellow, but it is white.
  In (11,50), the ground is expected to be yellow, but it is white.
  In (11,52), the ground is expected to be yellow, but it is white.
  In (11,54), the ground is expected to be yellow, but it is white.
  In (11,55), the ground is expected to be yellow, but it is white.
  In (11,57), the ground is expected to be yellow, but it is white.
  In (11,58), the ground is expected to be yellow, but it is white.
  In (11,77), the ground is expected to be white, but it is yellow.
  In (11,81), the ground is expected to be white, but it is red.
  In (11,93), the ground is expected to be white, but it is red.
  In (11,97), the ground is expected to be white, but it is yellow.
  In (12,13), the ground is expected to be white, but it is yellow.
  In (12,17), the ground is expected to be white, but it is red.
  In (12,19), the ground is expected to be white, but it is yellow.
  In (12,23), the ground is expected to be white, but it is red.
  In (12,34), the ground is expected to be yellow, but it is white.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,45), the ground is expected to be yellow, but it is white.
  In (12,46), the ground is expected to be yellow, but it is white.
  In (12,47), the ground is expected to be yellow, but it is white.
