The amount of steps is wrong: 83420 is not 0
  In (2,54), the ground is expected to be white, but it is red.
  In (2,56), the ground is expected to be white, but it is red.
  In (2,57), the ground is expected to be white, but it is yellow.
  In (2,61), the ground is expected to be white, but it is red.
  In (2,64), the ground is expected to be white, but it is red.
  In (2,69), the ground is expected to be white, but it is red.
  In (2,71), the ground is expected to be white, but it is red.
  In (2,72), the ground is expected to be white, but it is red.
  In (2,75), the ground is expected to be white, but it is yellow.
  In (2,76), the ground is expected to be white, but it is yellow.
  In (2,80), the ground is expected to be white, but it is yellow.
  In (2,85), the ground is expected to be white, but it is red.
  In (2,86), the ground is expected to be white, but it is red.
  In (2,89), the ground is expected to be white, but it is red.
  In (2,90), the ground is expected to be white, but it is yellow.
  In (2,91), the ground is expected to be white, but it is yellow.
  In (2,92), the ground is expected to be white, but it is yellow.
  In (2,93), the ground is expected to be white, but it is yellow.
  In (2,94), the ground is expected to be white, but it is yellow.
  In (2,95), the ground is expected to be white, but it is yellow.
  In (2,97), the ground is expected to be white, but it is red.
  In (2,98), the ground is expected to be white, but it is yellow.
  In (2,99), the ground is expected to be white, but it is red.
  In (3,0), the ground is expected to be white, but it is yellow.
  In (3,1), the ground is expected to be white, but it is red.
  In (3,5), the ground is expected to be white, but it is red.
  In (3,8), the ground is expected to be white, but it is red.
  In (3,9), the ground is expected to be white, but it is yellow.
  In (3,10), the ground is expected to be white, but it is red.
  In (3,11), the ground is expected to be white, but it is red.
  In (3,12), the ground is expected to be white, but it is red.
  In (3,13), the ground is expected to be white, but it is red.
  In (3,16), the ground is expected to be white, but it is yellow.
  In (3,17), the ground is expected to be white, but it is yellow.
  In (3,18), the ground is expected to be white, but it is yellow.
  In (3,20), the ground is expected to be white, but it is red.
  In (3,22), the ground is expected to be white, but it is red.
  In (3,24), the ground is expected to be white, but it is yellow.
  In (3,25), the ground is expected to be white, but it is yellow.
  In (3,26), the ground is expected to be white, but it is yellow.
  In (3,27), the ground is expected to be white, but it is red.
  In (3,28), the ground is expected to be white, but it is yellow.
  In (3,31), the ground is expected to be white, but it is red.
  In (3,35), the ground is expected to be white, but it is yellow.
  In (3,39), the ground is expected to be white, but it is red.
  In (3,43), the ground is expected to be white, but it is red.
  In (3,47), the ground is expected to be white, but it is red.
  In (3,49), the ground is expected to be yellow, but it is red.
  In (3,51), the ground is expected to be yellow, but it is white.
  In (3,52), the ground is expected to be yellow, but it is white.
  In (3,53), the ground is expected to be white, but it is yellow.
  In (3,55), the ground is expected to be white, but it is red.
  In (3,57), the ground is expected to be white, but it is yellow.
  In (3,58), the ground is expected to be white, but it is yellow.
  In (3,59), the ground is expected to be white, but it is yellow.
