The amount of steps is wrong: 8342 is not 0
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is white.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is white.
  In (8,52), the ground is expected to be yellow, but it is white.
  In (8,54), the ground is expected to be yellow, but it is white.
  In (8,58), the ground is expected to be white, but it is yellow.
  In (8,59), the ground is expected to be white, but it is yellow.
  In (8,60), the ground is expected to be white, but it is yellow.
  In (8,61), the ground is expected to be white, but it is yellow.
  In (8,76), the ground is expected to be white, but it is yellow.
  In (8,78), the ground is expected to be white, but it is yellow.
  In (8,80), the ground is expected to be white, but it is yellow.
  In (8,81), the ground is expected to be white, but it is yellow.
  In (9,29), the ground is expected to be white, but it is yellow.
  In (9,30), the ground is expected to be white, but it is yellow.
  In (9,31), the ground is expected to be yellow, but it is white.
  In (9,35), the ground is expected to be white, but it is yellow.
  In (9,36), the ground is expected to be white, but it is yellow.
  In (9,38), the ground is expected to be white, but it is yellow.
  In (9,40), the ground is expected to be white, but it is yellow.
  In (9,41), the ground is expected to be yellow, but it is white.
  In (9,42), the ground is expected to be white, but it is yellow.
  In (9,45), the ground is expected to be white, but it is yellow.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,49), the ground is expected to be yellow, but it is white.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,56), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is white.
  In (9,58), the ground is expected to be yellow, but it is white.
  In (9,60), the ground is expected to be white, but it is yellow.
  In (9,63), the ground is expected to be white, but it is yellow.
  In (9,75), the ground is expected to be white, but it is yellow.
  In (9,76), the ground is expected to be white, but it is yellow.
  In (9,78), the ground is expected to be white, but it is yellow.
  In (9,79), the ground is expected to be white, but it is yellow.
  In (9,80), the ground is expected to be white, but it is yellow.
  In (10,26), the ground is expected to be white, but it is yellow.
  In (10,27), the ground is expected to be white, but it is yellow.
  In (10,28), the ground is expected to be white, but it is yellow.
  In (10,30), the ground is expected to be white, but it is yellow.
  In (10,31), the ground is expected to be yellow, but it is white.
  In (10,34), the ground is expected to be white, but it is yellow.
  In (10,35), the ground is expected to be white, but it is yellow.
  In (10,36), the ground is expected to be yellow, but it is white.
  In (10,37), the ground is expected to be white, but it is yellow.
  In (10,41), the ground is expected to be yellow, but it is white.
  In (10,42), the ground is expected to be white, but it is yellow.
  In (10,43), the ground is expected to be white, but it is yellow.
  In (10,45), the ground is expected to be white, but it is yellow.
  In (10,46), the ground is expected to be white, but it is yellow.
  In (10,47), the ground is expected to be yellow, but it is white.
  In (10,48), the ground is expected to be yellow, but it is white.
  In (10,49), the ground is expected to be yellow, but it is white.
  In (10,51), the ground is expected to be white, but it is yellow.
  In (10,52), the ground is expected to be white, but it is yellow.
  In (10,54), the ground is expected to be white, but it is yellow.
  In (10,56), the ground is expected to be yellow, but it is white.
  In (10,58), the ground is expected to be yellow, but it is white.
  In (10,59), the ground is expected to be white, but it is yellow.
  In (10,60), the ground is expected to be white, but it is yellow.
  In (10,62), the ground is expected to be white, but it is yellow.
  In (10,63), the ground is expected to be white, but it is yellow.
  In (10,78), the ground is expected to be white, but it is yellow.
  In (10,79), the ground is expected to be white, but it is yellow.
  In (11,26), the ground is expected to be white, but it is yellow.
  In (11,28), the ground is expected to be white, but it is yellow.
  In (11,31), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,36), the ground is expected to be white, but it is yellow.
  In (11,37), the ground is expected to be white, but it is yellow.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is white.
  In (11,46), the ground is expected to be white, but it is yellow.
  In (11,47), the ground is expected to be white, but it is yellow.
  In (11,51), the ground is expected to be white, but it is yellow.
  In (11,53), the ground is expected to be white, but it is yellow.
  In (11,55), the ground is expected to be yellow, but it is white.
  In (11,59), the ground is expected to be white, but it is yellow.
  In (11,61), the ground is expected to be white, but it is yellow.
