The amount of steps is wrong: 200000 is not 0
  In (4,75), the ground is expected to be white, but it is grey.
  In (4,76), the ground is expected to be white, but it is red.
  In (4,77), the ground is expected to be white, but it is green.
  In (4,78), the ground is expected to be white, but it is black.
  In (4,79), the ground is expected to be white, but it is blue.
  In (4,80), the ground is expected to be white, but it is orange.
  In (4,81), the ground is expected to be white, but it is red.
  In (5,25), the ground is expected to be white, but it is red.
  In (5,26), the ground is expected to be white, but it is red.
  In (5,27), the ground is expected to be white, but it is yellow.
  In (5,28), the ground is expected to be white, but it is yellow.
  In (5,29), the ground is expected to be white, but it is yellow.
  In (5,30), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is red.
  In (5,32), the ground is expected to be white, but it is blue.
  In (5,33), the ground is expected to be white, but it is magenta.
  In (5,34), the ground is expected to be white, but it is magenta.
  In (5,35), the ground is expected to be yellow, but it is grey.
  In (5,36), the ground is expected to be yellow, but it is blue.
  In (5,37), the ground is expected to be yellow, but it is red.
  In (5,38), the ground is expected to be yellow, but it is white.
  In (5,49), the ground is expected to be yellow, but it is white.
  In (5,50), the ground is expected to be yellow, but it is white.
  In (5,51), the ground is expected to be yellow, but it is white.
  In (5,55), the ground is expected to be white, but it is yellow.
  In (5,56), the ground is expected to be white, but it is cyan.
  In (5,57), the ground is expected to be white, but it is orange.
  In (5,58), the ground is expected to be white, but it is grey.
  In (5,59), the ground is expected to be white, but it is magenta.
  In (5,60), the ground is expected to be white, but it is grey.
  In (5,61), the ground is expected to be white, but it is grey.
  In (5,62), the ground is expected to be white, but it is black.
  In (5,63), the ground is expected to be white, but it is blue.
  In (5,64), the ground is expected to be white, but it is red.
  In (5,66), the ground is expected to be white, but it is magenta.
  In (5,67), the ground is expected to be white, but it is grey.
  In (5,68), the ground is expected to be white, but it is cyan.
  In (5,69), the ground is expected to be white, but it is magenta.
  In (5,70), the ground is expected to be white, but it is yellow.
  In (5,71), the ground is expected to be white, but it is grey.
  In (5,72), the ground is expected to be white, but it is magenta.
  In (5,73), the ground is expected to be white, but it is magenta.
  In (5,74), the ground is expected to be white, but it is magenta.
  In (5,75), the ground is expected to be white, but it is grey.
  In (5,76), the ground is expected to be white, but it is cyan.
  In (5,77), the ground is expected to be white, but it is yellow.
  In (5,78), the ground is expected to be white, but it is red.
  In (5,79), the ground is expected to be white, but it is red.
  In (5,80), the ground is expected to be white, but it is red.
  In (5,81), the ground is expected to be white, but it is red.
  In (6,24), the ground is expected to be white, but it is yellow.
  In (6,25), the ground is expected to be white, but it is green.
  In (6,26), the ground is expected to be white, but it is blue.
  In (6,27), the ground is expected to be white, but it is cyan.
  In (6,28), the ground is expected to be white, but it is cyan.
  In (6,29), the ground is expected to be white, but it is cyan.
  In (6,30), the ground is expected to be white, but it is cyan.
  In (6,31), the ground is expected to be yellow, but it is orange.
  In (6,32), the ground is expected to be yellow, but it is black.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,36), the ground is expected to be yellow, but it is green.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,48), the ground is expected to be yellow, but it is white.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,52), the ground is expected to be yellow, but it is white.
  In (6,53), the ground is expected to be yellow, but it is white.
  In (6,55), the ground is expected to be white, but it is yellow.
  In (6,57), the ground is expected to be white, but it is yellow.
  In (6,58), the ground is expected to be white, but it is yellow.
  In (6,60), the ground is expected to be white, but it is yellow.
  In (6,61), the ground is expected to be white, but it is orange.
  In (6,62), the ground is expected to be white, but it is black.
  In (6,63), the ground is expected to be white, but it is orange.
  In (6,64), the ground is expected to be white, but it is blue.
  In (6,65), the ground is expected to be white, but it is blue.
  In (6,66), the ground is expected to be white, but it is green.
  In (6,68), the ground is expected to be white, but it is green.
  In (6,69), the ground is expected to be white, but it is black.
  In (6,70), the ground is expected to be white, but it is blue.
  In (6,71), the ground is expected to be white, but it is grey.
  In (6,72), the ground is expected to be white, but it is orange.
  In (6,73), the ground is expected to be white, but it is blue.
  In (6,74), the ground is expected to be white, but it is black.
  In (6,75), the ground is expected to be white, but it is blue.
  In (6,76), the ground is expected to be white, but it is orange.
  In (6,77), the ground is expected to be white, but it is red.
  In (7,24), the ground is expected to be white, but it is yellow.
  In (7,25), the ground is expected to be white, but it is blue.
  In (7,26), the ground is expected to be white, but it is magenta.
  In (7,27), the ground is expected to be white, but it is grey.
  In (7,28), the ground is expected to be white, but it is black.
  In (7,29), the ground is expected to be white, but it is black.
  In (7,30), the ground is expected to be white, but it is grey.
  In (7,31), the ground is expected to be white, but it is green.
  In (7,32), the ground is expected to be yellow, but it is red.
  In (7,33), the ground is expected to be white, but it is black.
  In (7,35), the ground is expected to be white, but it is magenta.
  In (7,36), the ground is expected to be white, but it is cyan.
  In (7,37), the ground is expected to be white, but it is red.
  In (7,38), the ground is expected to be white, but it is red.
  In (7,39), the ground is expected to be yellow, but it is red.
  In (7,40), the ground is expected to be yellow, but it is red.
  In (7,45), the ground is expected to be yellow, but it is white.
  In (7,48), the ground is expected to be yellow, but it is white.
  In (7,49), the ground is expected to be yellow, but it is white.
  In (7,50), the ground is expected to be yellow, but it is white.
  In (7,51), the ground is expected to be yellow, but it is white.
  In (7,52), the ground is expected to be yellow, but it is white.
  In (7,53), the ground is expected to be yellow, but it is white.
  In (7,54), the ground is expected to be yellow, but it is white.
  In (7,59), the ground is expected to be white, but it is yellow.
  In (7,60), the ground is expected to be white, but it is cyan.
  In (7,61), the ground is expected to be white, but it is blue.
