The amount of steps is wrong: 15000 is not 0
  In (2,18), the ground is expected to be white, but it is red.
  In (2,19), the ground is expected to be white, but it is red.
  In (2,20), the ground is expected to be white, but it is red.
  In (2,21), the ground is expected to be white, but it is red.
  In (2,22), the ground is expected to be white, but it is red.
  In (2,23), the ground is expected to be white, but it is red.
  In (2,24), the ground is expected to be white, but it is red.
  In (2,25), the ground is expected to be white, but it is red.
  In (2,26), the ground is expected to be white, but it is cyan.
  In (2,27), the ground is expected to be white, but it is dark grey.
  In (2,28), the ground is expected to be white, but it is grey.
  In (2,29), the ground is expected to be white, but it is cyan.
  In (2,30), the ground is expected to be white, but it is blue.
  In (2,31), the ground is expected to be white, but it is cyan.
  In (2,32), the ground is expected to be white, but it is cyan.
  In (2,33), the ground is expected to be white, but it is orange.
  In (2,34), the ground is expected to be white, but it is grey.
  In (2,35), the ground is expected to be white, but it is black.
  In (2,36), the ground is expected to be white, but it is grey.
  In (2,38), the ground is expected to be white, but it is yellow.
  In (2,39), the ground is expected to be white, but it is cyan.
  In (2,40), the ground is expected to be white, but it is black.
  In (2,41), the ground is expected to be white, but it is cyan.
  In (2,42), the ground is expected to be white, but it is green.
  In (2,43), the ground is expected to be white, but it is magenta.
  In (2,44), the ground is expected to be white, but it is dark grey.
  In (2,45), the ground is expected to be white, but it is orange.
  In (2,46), the ground is expected to be white, but it is cyan.
  In (2,47), the ground is expected to be white, but it is red.
  In (2,48), the ground is expected to be white, but it is red.
  In (2,49), the ground is expected to be white, but it is red.
  In (2,50), the ground is expected to be white, but it is red.
  In (2,51), the ground is expected to be white, but it is red.
  In (2,52), the ground is expected to be white, but it is red.
  In (2,53), the ground is expected to be white, but it is red.
  In (2,54), the ground is expected to be white, but it is red.
  In (2,55), the ground is expected to be white, but it is cyan.
  In (2,56), the ground is expected to be white, but it is green.
  In (2,57), the ground is expected to be white, but it is black.
  In (2,58), the ground is expected to be white, but it is red.
  In (2,59), the ground is expected to be white, but it is red.
  In (2,60), the ground is expected to be white, but it is grey.
  In (2,61), the ground is expected to be white, but it is green.
  In (2,62), the ground is expected to be white, but it is red.
  In (2,63), the ground is expected to be white, but it is red.
  In (2,64), the ground is expected to be white, but it is yellow.
  In (3,4), the ground is expected to be white, but it is yellow.
  In (3,5), the ground is expected to be white, but it is red.
  In (3,6), the ground is expected to be white, but it is red.
  In (3,7), the ground is expected to be white, but it is red.
  In (3,8), the ground is expected to be white, but it is red.
  In (3,9), the ground is expected to be white, but it is red.
  In (3,10), the ground is expected to be white, but it is red.
  In (3,11), the ground is expected to be white, but it is red.
  In (3,12), the ground is expected to be white, but it is red.
  In (3,13), the ground is expected to be white, but it is red.
  In (3,14), the ground is expected to be white, but it is red.
  In (3,15), the ground is expected to be white, but it is red.
  In (3,16), the ground is expected to be white, but it is red.
  In (3,17), the ground is expected to be white, but it is red.
  In (3,18), the ground is expected to be white, but it is red.
  In (3,19), the ground is expected to be white, but it is red.
  In (3,20), the ground is expected to be white, but it is red.
  In (3,21), the ground is expected to be white, but it is red.
  In (3,22), the ground is expected to be white, but it is red.
  In (3,23), the ground is expected to be white, but it is red.
  In (3,24), the ground is expected to be white, but it is red.
  In (3,25), the ground is expected to be white, but it is red.
  In (3,26), the ground is expected to be white, but it is cyan.
  In (3,27), the ground is expected to be white, but it is dark grey.
  In (3,28), the ground is expected to be white, but it is grey.
  In (3,29), the ground is expected to be white, but it is black.
  In (3,31), the ground is expected to be white, but it is green.
  In (3,32), the ground is expected to be white, but it is cyan.
  In (3,33), the ground is expected to be white, but it is blue.
  In (3,34), the ground is expected to be white, but it is cyan.
  In (3,35), the ground is expected to be white, but it is cyan.
  In (3,36), the ground is expected to be white, but it is blue.
  In (3,37), the ground is expected to be white, but it is magenta.
  In (3,38), the ground is expected to be white, but it is orange.
  In (3,39), the ground is expected to be white, but it is blue.
  In (3,41), the ground is expected to be white, but it is red.
  In (3,42), the ground is expected to be white, but it is cyan.
