The amount of steps is wrong: 8342 is not 0
  In (7,80), the ground is expected to be white, but it is yellow.
  In (7,81), the ground is expected to be white, but it is yellow.
  In (7,82), the ground is expected to be white, but it is yellow.
  In (8,31), the ground is expected to be yellow, but it is white.
  In (8,32), the ground is expected to be yellow, but it is white.
  In (8,33), the ground is expected to be yellow, but it is white.
  In (8,36), the ground is expected to be yellow, but it is white.
  In (8,37), the ground is expected to be yellow, but it is white.
  In (8,39), the ground is expected to be yellow, but it is white.
  In (8,41), the ground is expected to be yellow, but it is white.
  In (8,45), the ground is expected to be yellow, but it is white.
  In (8,46), the ground is expected to be yellow, but it is white.
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is white.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is white.
  In (8,52), the ground is expected to be yellow, but it is white.
  In (8,54), the ground is expected to be yellow, but it is white.
  In (8,56), the ground is expected to be white, but it is yellow.
  In (8,58), the ground is expected to be white, but it is yellow.
  In (8,60), the ground is expected to be white, but it is yellow.
  In (8,64), the ground is expected to be white, but it is yellow.
  In (8,66), the ground is expected to be white, but it is yellow.
  In (8,67), the ground is expected to be white, but it is yellow.
  In (8,70), the ground is expected to be white, but it is yellow.
  In (8,71), the ground is expected to be white, but it is yellow.
  In (8,72), the ground is expected to be white, but it is yellow.
  In (8,73), the ground is expected to be white, but it is yellow.
  In (8,74), the ground is expected to be white, but it is yellow.
  In (8,75), the ground is expected to be white, but it is yellow.
  In (8,76), the ground is expected to be white, but it is yellow.
  In (8,77), the ground is expected to be white, but it is yellow.
  In (8,78), the ground is expected to be white, but it is yellow.
  In (8,81), the ground is expected to be white, but it is yellow.
  In (9,31), the ground is expected to be yellow, but it is white.
  In (9,32), the ground is expected to be yellow, but it is white.
  In (9,34), the ground is expected to be yellow, but it is white.
  In (9,37), the ground is expected to be yellow, but it is white.
  In (9,39), the ground is expected to be yellow, but it is white.
  In (9,41), the ground is expected to be yellow, but it is white.
  In (9,44), the ground is expected to be yellow, but it is white.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,49), the ground is expected to be yellow, but it is white.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,60), the ground is expected to be white, but it is yellow.
  In (9,61), the ground is expected to be white, but it is yellow.
  In (9,62), the ground is expected to be white, but it is yellow.
  In (9,63), the ground is expected to be white, but it is yellow.
  In (9,64), the ground is expected to be white, but it is yellow.
  In (9,65), the ground is expected to be white, but it is yellow.
  In (9,66), the ground is expected to be white, but it is yellow.
  In (9,68), the ground is expected to be white, but it is yellow.
  In (9,72), the ground is expected to be white, but it is yellow.
  In (9,74), the ground is expected to be white, but it is yellow.
  In (9,79), the ground is expected to be white, but it is yellow.
  In (9,80), the ground is expected to be white, but it is yellow.
  In (10,31), the ground is expected to be yellow, but it is white.
  In (10,36), the ground is expected to be yellow, but it is white.
  In (10,41), the ground is expected to be yellow, but it is white.
  In (10,47), the ground is expected to be yellow, but it is white.
  In (10,48), the ground is expected to be yellow, but it is white.
  In (10,49), the ground is expected to be yellow, but it is white.
  In (10,56), the ground is expected to be yellow, but it is white.
  In (10,57), the ground is expected to be white, but it is yellow.
  In (10,60), the ground is expected to be white, but it is yellow.
  In (10,61), the ground is expected to be white, but it is yellow.
  In (10,63), the ground is expected to be white, but it is yellow.
  In (10,65), the ground is expected to be white, but it is yellow.
  In (10,66), the ground is expected to be white, but it is yellow.
  In (10,67), the ground is expected to be white, but it is yellow.
  In (10,70), the ground is expected to be white, but it is yellow.
  In (10,71), the ground is expected to be white, but it is yellow.
  In (10,73), the ground is expected to be white, but it is yellow.
  In (10,76), the ground is expected to be white, but it is yellow.
  In (10,77), the ground is expected to be white, but it is yellow.
  In (10,78), the ground is expected to be white, but it is yellow.
  In (10,80), the ground is expected to be white, but it is yellow.
  In (11,31), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,35), the ground is expected to be yellow, but it is white.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is white.
  In (11,43), the ground is expected to be yellow, but it is white.
  In (11,44), the ground is expected to be yellow, but it is white.
  In (11,48), the ground is expected to be yellow, but it is white.
  In (11,49), the ground is expected to be yellow, but it is white.
  In (11,50), the ground is expected to be yellow, but it is white.
  In (11,52), the ground is expected to be yellow, but it is white.
  In (11,54), the ground is expected to be yellow, but it is white.
  In (11,55), the ground is expected to be yellow, but it is white.
  In (11,58), the ground is expected to be yellow, but it is white.
  In (11,59), the ground is expected to be white, but it is yellow.
  In (11,66), the ground is expected to be white, but it is yellow.
  In (11,67), the ground is expected to be white, but it is yellow.
  In (11,68), the ground is expected to be white, but it is yellow.
  In (11,74), the ground is expected to be white, but it is yellow.
  In (11,75), the ground is expected to be white, but it is yellow.
  In (11,77), the ground is expected to be white, but it is yellow.
  In (11,78), the ground is expected to be white, but it is yellow.
  In (11,79), the ground is expected to be white, but it is yellow.
  In (11,80), the ground is expected to be white, but it is yellow.
  In (12,34), the ground is expected to be yellow, but it is white.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,45), the ground is expected to be yellow, but it is white.
  In (12,46), the ground is expected to be yellow, but it is white.
  In (12,47), the ground is expected to be yellow, but it is white.
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is white.
  In (12,51), the ground is expected to be yellow, but it is white.
  In (12,52), the ground is expected to be yellow, but it is white.
  In (12,53), the ground is expected to be yellow, but it is white.
  In (12,54), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,61), the ground is expected to be white, but it is yellow.
  In (12,65), the ground is expected to be white, but it is yellow.
  In (12,66), the ground is expected to be white, but it is yellow.
  In (12,68), the ground is expected to be white, but it is yellow.
  In (12,73), the ground is expected to be white, but it is yellow.
  In (12,74), the ground is expected to be white, but it is yellow.
  In (12,76), the ground is expected to be white, but it is yellow.
  In (12,77), the ground is expected to be white, but it is yellow.
  In (13,34), the ground is expected to be yellow, but it is white.
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,37), the ground is expected to be yellow, but it is white.
  In (13,41), the ground is expected to be yellow, but it is white.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is white.
  In (13,49), the ground is expected to be yellow, but it is white.
  In (13,51), the ground is expected to be yellow, but it is white.
  In (13,55), the ground is expected to be yellow, but it is white.
  In (13,57), the ground is expected to be yellow, but it is white.
  In (13,59), the ground is expected to be yellow, but it is white.
  In (13,61), the ground is expected to be white, but it is yellow.
  In (13,63), the ground is expected to be white, but it is yellow.
  In (13,65), the ground is expected to be white, but it is yellow.
  In (13,66), the ground is expected to be white, but it is yellow.
  In (13,67), the ground is expected to be white, but it is yellow.
  In (13,68), the ground is expected to be white, but it is yellow.
  In (13,69), the ground is expected to be white, but it is yellow.
  In (13,70), the ground is expected to be white, but it is yellow.
  In (13,71), the ground is expected to be white, but it is yellow.
  In (13,73), the ground is expected to be white, but it is yellow.
  In (13,75), the ground is expected to be white, but it is yellow.
  In (13,76), the ground is expected to be white, but it is yellow.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,41), the ground is expected to be yellow, but it is white.
  In (14,42), the ground is expected to be yellow, but it is white.
  In (14,44), the ground is expected to be yellow, but it is white.
  In (14,45), the ground is expected to be yellow, but it is white.
  In (14,47), the ground is expected to be yellow, but it is white.
  In (14,48), the ground is expected to be yellow, but it is white.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,54), the ground is expected to be yellow, but it is white.
  In (14,55), the ground is expected to be yellow, but it is white.
  In (14,58), the ground is expected to be yellow, but it is white.
  In (14,60), the ground is expected to be yellow, but it is white.
  In (14,62), the ground is expected to be white, but it is yellow.
  In (14,63), the ground is expected to be white, but it is yellow.
  In (14,64), the ground is expected to be white, but it is yellow.
  In (14,65), the ground is expected to be white, but it is yellow.
  In (14,66), the ground is expected to be white, but it is yellow.
  In (14,67), the ground is expected to be white, but it is yellow.
  In (14,70), the ground is expected to be white, but it is yellow.
  In (14,71), the ground is expected to be white, but it is yellow.
  In (14,72), the ground is expected to be white, but it is yellow.
  In (14,74), the ground is expected to be white, but it is yellow.
  In (14,75), the ground is expected to be white, but it is yellow.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,47), the ground is expected to be yellow, but it is white.
  In (15,49), the ground is expected to be yellow, but it is white.
  In (15,50), the ground is expected to be yellow, but it is white.
  In (15,51), the ground is expected to be yellow, but it is white.
  In (15,55), the ground is expected to be yellow, but it is white.
  In (15,56), the ground is expected to be yellow, but it is white.
  In (15,58), the ground is expected to be yellow, but it is white.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (15,63), the ground is expected to be white, but it is yellow.
  In (15,66), the ground is expected to be white, but it is yellow.
  In (15,67), the ground is expected to be white, but it is yellow.
  In (15,72), the ground is expected to be white, but it is yellow.
  In (15,73), the ground is expected to be white, but it is yellow.
  In (15,74), the ground is expected to be white, but it is yellow.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,32), the ground is expected to be yellow, but it is white.
  In (16,33), the ground is expected to be yellow, but it is white.
  In (16,38), the ground is expected to be yellow, but it is white.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,46), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,50), the ground is expected to be yellow, but it is white.
  In (16,55), the ground is expected to be yellow, but it is white.
  In (16,57), the ground is expected to be yellow, but it is white.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,60), the ground is expected to be yellow, but it is white.
  In (16,62), the ground is expected to be yellow, but it is white.
  In (16,64), the ground is expected to be white, but it is yellow.
  In (16,65), the ground is expected to be white, but it is yellow.
  In (16,66), the ground is expected to be white, but it is yellow.
  In (17,29), the ground is expected to be yellow, but it is white.
  In (17,30), the ground is expected to be yellow, but it is white.
  In (17,31), the ground is expected to be yellow, but it is white.
  In (17,33), the ground is expected to be yellow, but it is white.
  In (17,36), the ground is expected to be yellow, but it is white.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,46), the ground is expected to be yellow, but it is white.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,49), the ground is expected to be yellow, but it is white.
  In (17,50), the ground is expected to be yellow, but it is white.
  In (17,52), the ground is expected to be yellow, but it is white.
  In (17,55), the ground is expected to be yellow, but it is white.
  In (17,56), the ground is expected to be yellow, but it is white.
  In (17,61), the ground is expected to be yellow, but it is white.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (17,64), the ground is expected to be white, but it is yellow.
  In (17,65), the ground is expected to be white, but it is yellow.
  In (17,66), the ground is expected to be white, but it is yellow.
  In (18,22), the ground is expected to be yellow, but it is white.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,25), the ground is expected to be yellow, but it is white.
  In (18,30), the ground is expected to be yellow, but it is white.
  In (18,31), the ground is expected to be yellow, but it is white.
  In (18,33), the ground is expected to be yellow, but it is white.
  In (18,35), the ground is expected to be yellow, but it is white.
  In (18,39), the ground is expected to be yellow, but it is white.
  In (18,40), the ground is expected to be yellow, but it is white.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,49), the ground is expected to be yellow, but it is white.
  In (18,55), the ground is expected to be yellow, but it is white.
  In (18,57), the ground is expected to be yellow, but it is white.
  In (18,60), the ground is expected to be yellow, but it is white.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (18,63), the ground is expected to be white, but it is yellow.
  In (18,64), the ground is expected to be white, but it is yellow.
  In (18,66), the ground is expected to be white, but it is yellow.
  In (19,22), the ground is expected to be yellow, but it is white.
  In (19,23), the ground is expected to be yellow, but it is white.
  In (19,24), the ground is expected to be yellow, but it is white.
  In (19,29), the ground is expected to be yellow, but it is white.
  In (19,30), the ground is expected to be yellow, but it is white.
  In (19,31), the ground is expected to be yellow, but it is white.
  In (19,32), the ground is expected to be yellow, but it is white.
  In (19,33), the ground is expected to be yellow, but it is white.
  In (19,35), the ground is expected to be yellow, but it is white.
  In (19,36), the ground is expected to be yellow, but it is white.
  In (19,39), the ground is expected to be yellow, but it is white.
  In (19,40), the ground is expected to be yellow, but it is white.
  In (19,41), the ground is expected to be yellow, but it is white.
  In (19,42), the ground is expected to be yellow, but it is white.
  In (19,43), the ground is expected to be yellow, but it is white.
  In (19,44), the ground is expected to be yellow, but it is white.
  In (19,45), the ground is expected to be yellow, but it is white.
  In (19,46), the ground is expected to be yellow, but it is white.
  In (19,47), the ground is expected to be yellow, but it is white.
  In (19,48), the ground is expected to be yellow, but it is white.
  In (19,55), the ground is expected to be yellow, but it is white.
  In (19,57), the ground is expected to be yellow, but it is white.
  In (19,60), the ground is expected to be yellow, but it is white.
  In (19,61), the ground is expected to be yellow, but it is white.
  In (20,22), the ground is expected to be yellow, but it is white.
  In (20,23), the ground is expected to be yellow, but it is white.
  In (20,24), the ground is expected to be yellow, but it is white.
  In (20,32), the ground is expected to be yellow, but it is white.
  In (20,33), the ground is expected to be yellow, but it is white.
  In (20,34), the ground is expected to be yellow, but it is white.
  In (20,35), the ground is expected to be yellow, but it is white.
  In (20,36), the ground is expected to be yellow, but it is white.
  In (20,37), the ground is expected to be yellow, but it is white.
  In (20,39), the ground is expected to be yellow, but it is white.
  In (20,40), the ground is expected to be yellow, but it is white.
  In (20,42), the ground is expected to be yellow, but it is white.
  In (20,45), the ground is expected to be yellow, but it is white.
  In (20,47), the ground is expected to be yellow, but it is white.
  In (20,48), the ground is expected to be yellow, but it is white.
  In (20,52), the ground is expected to be yellow, but it is white.
  In (20,53), the ground is expected to be yellow, but it is white.
  In (20,60), the ground is expected to be yellow, but it is white.
  In (21,14), the ground is expected to be yellow, but it is white.
  In (21,15), the ground is expected to be yellow, but it is white.
  In (21,16), the ground is expected to be yellow, but it is white.
  In (21,21), the ground is expected to be yellow, but it is white.
  In (21,22), the ground is expected to be yellow, but it is white.
  In (21,25), the ground is expected to be yellow, but it is white.
  In (21,26), the ground is expected to be yellow, but it is white.
  In (21,33), the ground is expected to be yellow, but it is white.
  In (21,35), the ground is expected to be yellow, but it is white.
  In (21,36), the ground is expected to be yellow, but it is white.
  In (21,37), the ground is expected to be yellow, but it is white.
  In (21,38), the ground is expected to be yellow, but it is white.
  In (21,40), the ground is expected to be yellow, but it is white.
  In (21,42), the ground is expected to be yellow, but it is white.
  In (21,44), the ground is expected to be yellow, but it is white.
  In (21,45), the ground is expected to be yellow, but it is white.
  In (21,46), the ground is expected to be yellow, but it is white.
  In (21,52), the ground is expected to be yellow, but it is white.
  In (21,53), the ground is expected to be yellow, but it is white.
  In (21,54), the ground is expected to be yellow, but it is white.
  In (21,56), the ground is expected to be yellow, but it is white.
  In (21,58), the ground is expected to be yellow, but it is white.
  In (21,59), the ground is expected to be yellow, but it is white.
  In (21,60), the ground is expected to be yellow, but it is white.
  In (22,13), the ground is expected to be yellow, but it is white.
  In (22,14), the ground is expected to be yellow, but it is white.
  In (22,16), the ground is expected to be yellow, but it is white.
  In (22,17), the ground is expected to be yellow, but it is white.
  In (22,18), the ground is expected to be yellow, but it is white.
  In (22,21), the ground is expected to be yellow, but it is white.
  In (22,22), the ground is expected to be yellow, but it is white.
  In (22,23), the ground is expected to be yellow, but it is white.
  In (22,24), the ground is expected to be yellow, but it is white.
  In (22,25), the ground is expected to be yellow, but it is white.
  In (22,26), the ground is expected to be yellow, but it is white.
  In (22,27), the ground is expected to be yellow, but it is white.
  In (22,33), the ground is expected to be yellow, but it is white.
  In (22,35), the ground is expected to be yellow, but it is white.
  In (22,36), the ground is expected to be yellow, but it is white.
  In (22,42), the ground is expected to be yellow, but it is white.
  In (22,43), the ground is expected to be yellow, but it is white.
  In (22,44), the ground is expected to be yellow, but it is white.
  In (22,47), the ground is expected to be yellow, but it is white.
  In (22,48), the ground is expected to be yellow, but it is white.
  In (22,50), the ground is expected to be yellow, but it is white.
  In (22,54), the ground is expected to be yellow, but it is white.
  In (22,55), the ground is expected to be yellow, but it is white.
  In (22,57), the ground is expected to be yellow, but it is white.
  In (22,58), the ground is expected to be yellow, but it is white.
  In (22,60), the ground is expected to be yellow, but it is white.
  In (22,61), the ground is expected to be yellow, but it is white.
  In (22,62), the ground is expected to be yellow, but it is white.
  In (23,12), the ground is expected to be yellow, but it is white.
  In (23,13), the ground is expected to be yellow, but it is white.
  In (23,15), the ground is expected to be yellow, but it is white.
  In (23,17), the ground is expected to be yellow, but it is white.
  In (23,18), the ground is expected to be yellow, but it is white.
  In (23,19), the ground is expected to be yellow, but it is white.
  In (23,20), the ground is expected to be yellow, but it is white.
  In (23,21), the ground is expected to be yellow, but it is white.
  In (23,22), the ground is expected to be yellow, but it is white.
  In (23,23), the ground is expected to be yellow, but it is white.
  In (23,25), the ground is expected to be yellow, but it is white.
  In (23,27), the ground is expected to be yellow, but it is white.
  In (23,28), the ground is expected to be yellow, but it is white.
  In (23,33), the ground is expected to be yellow, but it is white.
  In (23,34), the ground is expected to be yellow, but it is white.
  In (23,35), the ground is expected to be yellow, but it is white.
  In (23,40), the ground is expected to be yellow, but it is white.
  In (23,44), the ground is expected to be yellow, but it is white.
  In (23,45), the ground is expected to be yellow, but it is white.
  In (23,46), the ground is expected to be yellow, but it is white.
  In (23,47), the ground is expected to be yellow, but it is white.
  In (23,48), the ground is expected to be yellow, but it is white.
  In (23,50), the ground is expected to be yellow, but it is white.
  In (23,51), the ground is expected to be yellow, but it is white.
  In (23,52), the ground is expected to be yellow, but it is white.
  In (23,53), the ground is expected to be yellow, but it is white.
  In (23,54), the ground is expected to be yellow, but it is white.
  In (23,55), the ground is expected to be yellow, but it is white.
  In (23,56), the ground is expected to be yellow, but it is white.
  In (23,57), the ground is expected to be yellow, but it is white.
  In (23,58), the ground is expected to be yellow, but it is white.
  In (23,59), the ground is expected to be yellow, but it is white.
  In (23,60), the ground is expected to be yellow, but it is white.
  In (23,61), the ground is expected to be yellow, but it is white.
  In (23,62), the ground is expected to be yellow, but it is white.
  In (23,63), the ground is expected to be yellow, but it is white.
  In (23,64), the ground is expected to be yellow, but it is white.
  In (23,65), the ground is expected to be yellow, but it is white.
  In (24,11), the ground is expected to be yellow, but it is white.
  In (24,12), the ground is expected to be yellow, but it is white.
  In (24,14), the ground is expected to be yellow, but it is white.
  In (24,15), the ground is expected to be yellow, but it is white.
  In (24,20), the ground is expected to be yellow, but it is white.
  In (24,22), the ground is expected to be yellow, but it is white.
  In (24,23), the ground is expected to be yellow, but it is white.
  In (24,27), the ground is expected to be yellow, but it is white.
  In (24,36), the ground is expected to be yellow, but it is white.
  In (24,39), the ground is expected to be yellow, but it is white.
  In (24,40), the ground is expected to be yellow, but it is white.
  In (24,42), the ground is expected to be yellow, but it is white.
  In (24,43), the ground is expected to be yellow, but it is white.
  In (24,46), the ground is expected to be yellow, but it is white.
  In (24,47), the ground is expected to be yellow, but it is white.
  In (24,52), the ground is expected to be yellow, but it is white.
  In (24,56), the ground is expected to be yellow, but it is white.
  In (24,57), the ground is expected to be yellow, but it is white.
  In (24,59), the ground is expected to be yellow, but it is white.
  In (24,60), the ground is expected to be yellow, but it is white.
  In (24,61), the ground is expected to be yellow, but it is white.
  In (24,63), the ground is expected to be yellow, but it is white.
  In (24,64), the ground is expected to be yellow, but it is white.
  In (25,8), the ground is expected to be yellow, but it is white.
  In (25,9), the ground is expected to be yellow, but it is white.
  In (25,10), the ground is expected to be yellow, but it is white.
  In (25,11), the ground is expected to be yellow, but it is white.
  In (25,13), the ground is expected to be yellow, but it is white.
  In (25,14), the ground is expected to be yellow, but it is white.
  In (25,20), the ground is expected to be yellow, but it is white.
  In (25,21), the ground is expected to be yellow, but it is white.
  In (25,22), the ground is expected to be yellow, but it is white.
  In (25,31), the ground is expected to be yellow, but it is white.
