The amount of steps is wrong: 8342 is not 0
  In (9,42), the ground is expected to be white, but it is yellow.
  In (9,44), the ground is expected to be yellow, but it is white.
  In (9,45), the ground is expected to be white, but it is yellow.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,48), the ground is expected to be white, but it is yellow.
  In (9,51), the ground is expected to be white, but it is yellow.
  In (9,52), the ground is expected to be white, but it is yellow.
  In (9,53), the ground is expected to be white, but it is yellow.
  In (9,56), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is white.
  In (9,58), the ground is expected to be yellow, but it is white.
  In (10,32), the ground is expected to be white, but it is yellow.
  In (10,33), the ground is expected to be white, but it is yellow.
  In (10,34), the ground is expected to be white, but it is yellow.
  In (10,37), the ground is expected to be white, but it is yellow.
  In (10,41), the ground is expected to be yellow, but it is white.
  In (10,47), the ground is expected to be yellow, but it is white.
  In (10,52), the ground is expected to be white, but it is yellow.
  In (10,53), the ground is expected to be white, but it is yellow.
  In (10,56), the ground is expected to be yellow, but it is white.
  In (10,58), the ground is expected to be yellow, but it is white.
  In (11,32), the ground is expected to be yellow, but it is white.
  In (11,33), the ground is expected to be yellow, but it is white.
  In (11,34), the ground is expected to be yellow, but it is white.
  In (11,36), the ground is expected to be white, but it is yellow.
  In (11,37), the ground is expected to be white, but it is yellow.
  In (11,38), the ground is expected to be white, but it is yellow.
  In (11,39), the ground is expected to be yellow, but it is white.
  In (11,41), the ground is expected to be yellow, but it is white.
  In (11,42), the ground is expected to be yellow, but it is white.
  In (11,43), the ground is expected to be yellow, but it is white.
  In (11,44), the ground is expected to be yellow, but it is white.
  In (11,48), the ground is expected to be yellow, but it is white.
  In (11,51), the ground is expected to be white, but it is yellow.
  In (11,52), the ground is expected to be yellow, but it is white.
  In (11,54), the ground is expected to be yellow, but it is white.
  In (11,55), the ground is expected to be yellow, but it is white.
  In (11,57), the ground is expected to be yellow, but it is white.
  In (11,58), the ground is expected to be yellow, but it is white.
  In (12,34), the ground is expected to be yellow, but it is white.
  In (12,35), the ground is expected to be yellow, but it is white.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,45), the ground is expected to be yellow, but it is white.
  In (12,46), the ground is expected to be yellow, but it is white.
  In (12,47), the ground is expected to be yellow, but it is white.
  In (12,52), the ground is expected to be yellow, but it is white.
  In (12,53), the ground is expected to be yellow, but it is white.
  In (12,54), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,57), the ground is expected to be yellow, but it is white.
  In (12,58), the ground is expected to be yellow, but it is white.
  In (12,59), the ground is expected to be yellow, but it is white.
  In (13,34), the ground is expected to be yellow, but it is white.
