The amount of steps is wrong: 98000 is not 0
  In (2,75), the ground is expected to be white, but it is red.
  In (3,24), the ground is expected to be white, but it is yellow.
  In (3,25), the ground is expected to be white, but it is cyan.
  In (3,27), the ground is expected to be white, but it is orange.
  In (3,28), the ground is expected to be white, but it is orange.
  In (3,29), the ground is expected to be white, but it is orange.
  In (3,30), the ground is expected to be white, but it is orange.
  In (3,32), the ground is expected to be white, but it is cyan.
  In (3,33), the ground is expected to be white, but it is yellow.
  In (3,34), the ground is expected to be white, but it is yellow.
  In (3,35), the ground is expected to be white, but it is yellow.
  In (3,36), the ground is expected to be white, but it is red.
  In (3,37), the ground is expected to be white, but it is orange.
  In (3,39), the ground is expected to be white, but it is cyan.
  In (3,40), the ground is expected to be white, but it is red.
  In (3,41), the ground is expected to be white, but it is red.
  In (3,42), the ground is expected to be white, but it is red.
  In (3,43), the ground is expected to be white, but it is cyan.
  In (3,45), the ground is expected to be white, but it is red.
  In (3,46), the ground is expected to be white, but it is red.
  In (3,47), the ground is expected to be white, but it is yellow.
  In (3,48), the ground is expected to be white, but it is green.
  In (3,49), the ground is expected to be yellow, but it is red.
  In (3,50), the ground is expected to be white, but it is orange.
  In (3,51), the ground is expected to be yellow, but it is orange.
  In (3,52), the ground is expected to be yellow, but it is orange.
  In (3,53), the ground is expected to be white, but it is green.
  In (3,54), the ground is expected to be white, but it is orange.
  In (3,55), the ground is expected to be white, but it is yellow.
  In (3,56), the ground is expected to be white, but it is cyan.
  In (3,58), the ground is expected to be white, but it is green.
  In (3,61), the ground is expected to be white, but it is yellow.
  In (3,62), the ground is expected to be white, but it is red.
  In (3,63), the ground is expected to be white, but it is yellow.
  In (3,64), the ground is expected to be white, but it is green.
  In (3,65), the ground is expected to be white, but it is yellow.
  In (3,66), the ground is expected to be white, but it is cyan.
  In (3,68), the ground is expected to be white, but it is yellow.
  In (3,69), the ground is expected to be white, but it is green.
  In (3,70), the ground is expected to be white, but it is red.
  In (3,71), the ground is expected to be white, but it is green.
  In (3,72), the ground is expected to be white, but it is cyan.
  In (3,73), the ground is expected to be white, but it is cyan.
  In (3,74), the ground is expected to be white, but it is yellow.
  In (3,75), the ground is expected to be white, but it is cyan.
  In (3,76), the ground is expected to be white, but it is yellow.
  In (4,25), the ground is expected to be white, but it is yellow.
  In (4,26), the ground is expected to be white, but it is red.
  In (4,27), the ground is expected to be white, but it is cyan.
  In (4,28), the ground is expected to be white, but it is cyan.
  In (4,29), the ground is expected to be white, but it is cyan.
  In (4,30), the ground is expected to be white, but it is cyan.
  In (4,31), the ground is expected to be white, but it is red.
  In (4,32), the ground is expected to be white, but it is yellow.
  In (4,36), the ground is expected to be white, but it is red.
  In (4,37), the ground is expected to be white, but it is green.
  In (4,38), the ground is expected to be white, but it is green.
  In (4,39), the ground is expected to be white, but it is yellow.
  In (4,40), the ground is expected to be white, but it is yellow.
  In (4,41), the ground is expected to be white, but it is red.
  In (4,42), the ground is expected to be white, but it is cyan.
  In (4,43), the ground is expected to be white, but it is green.
  In (4,45), the ground is expected to be white, but it is orange.
  In (4,46), the ground is expected to be white, but it is orange.
  In (4,47), the ground is expected to be white, but it is red.
  In (4,48), the ground is expected to be white, but it is orange.
  In (4,49), the ground is expected to be yellow, but it is red.
  In (4,50), the ground is expected to be yellow, but it is orange.
  In (4,51), the ground is expected to be yellow, but it is orange.
  In (4,52), the ground is expected to be white, but it is yellow.
  In (4,53), the ground is expected to be white, but it is yellow.
  In (4,54), the ground is expected to be white, but it is red.
  In (4,55), the ground is expected to be white, but it is red.
  In (4,56), the ground is expected to be white, but it is orange.
  In (4,57), the ground is expected to be white, but it is yellow.
  In (4,58), the ground is expected to be white, but it is red.
  In (4,61), the ground is expected to be white, but it is yellow.
  In (4,62), the ground is expected to be white, but it is green.
  In (4,63), the ground is expected to be white, but it is yellow.
  In (4,64), the ground is expected to be white, but it is green.
  In (4,65), the ground is expected to be white, but it is green.
  In (4,66), the ground is expected to be white, but it is yellow.
  In (4,67), the ground is expected to be white, but it is orange.
  In (4,68), the ground is expected to be white, but it is yellow.
  In (4,69), the ground is expected to be white, but it is yellow.
  In (4,71), the ground is expected to be white, but it is cyan.
  In (4,72), the ground is expected to be white, but it is red.
  In (4,73), the ground is expected to be white, but it is red.
  In (4,74), the ground is expected to be white, but it is yellow.
  In (4,75), the ground is expected to be white, but it is cyan.
  In (4,76), the ground is expected to be white, but it is yellow.
  In (5,31), the ground is expected to be yellow, but it is white.
  In (5,35), the ground is expected to be yellow, but it is white.
  In (5,39), the ground is expected to be white, but it is cyan.
  In (5,41), the ground is expected to be white, but it is cyan.
  In (5,42), the ground is expected to be white, but it is green.
  In (5,43), the ground is expected to be white, but it is green.
  In (5,44), the ground is expected to be white, but it is cyan.
  In (5,45), the ground is expected to be white, but it is red.
  In (5,46), the ground is expected to be white, but it is orange.
  In (5,47), the ground is expected to be white, but it is red.
  In (5,48), the ground is expected to be white, but it is yellow.
  In (5,49), the ground is expected to be yellow, but it is green.
  In (5,50), the ground is expected to be yellow, but it is red.
  In (5,51), the ground is expected to be yellow, but it is red.
  In (5,52), the ground is expected to be white, but it is red.
  In (5,53), the ground is expected to be white, but it is red.
  In (5,54), the ground is expected to be white, but it is orange.
  In (5,55), the ground is expected to be white, but it is orange.
  In (5,56), the ground is expected to be white, but it is yellow.
  In (5,57), the ground is expected to be white, but it is orange.
  In (5,58), the ground is expected to be white, but it is orange.
  In (5,59), the ground is expected to be white, but it is green.
  In (5,60), the ground is expected to be white, but it is orange.
  In (5,61), the ground is expected to be white, but it is orange.
  In (5,62), the ground is expected to be white, but it is yellow.
  In (5,63), the ground is expected to be white, but it is red.
  In (5,64), the ground is expected to be white, but it is orange.
  In (5,68), the ground is expected to be white, but it is cyan.
  In (5,69), the ground is expected to be white, but it is green.
  In (5,70), the ground is expected to be white, but it is cyan.
  In (5,71), the ground is expected to be white, but it is yellow.
  In (5,74), the ground is expected to be white, but it is cyan.
  In (5,75), the ground is expected to be white, but it is yellow.
  In (6,31), the ground is expected to be yellow, but it is white.
  In (6,32), the ground is expected to be yellow, but it is white.
  In (6,33), the ground is expected to be yellow, but it is white.
  In (6,34), the ground is expected to be yellow, but it is white.
  In (6,36), the ground is expected to be yellow, but it is white.
  In (6,37), the ground is expected to be yellow, but it is white.
  In (6,38), the ground is expected to be white, but it is yellow.
  In (6,39), the ground is expected to be white, but it is cyan.
  In (6,42), the ground is expected to be white, but it is yellow.
  In (6,43), the ground is expected to be white, but it is orange.
  In (6,45), the ground is expected to be white, but it is orange.
  In (6,46), the ground is expected to be white, but it is cyan.
  In (6,48), the ground is expected to be yellow, but it is cyan.
  In (6,49), the ground is expected to be yellow, but it is white.
  In (6,50), the ground is expected to be white, but it is yellow.
  In (6,51), the ground is expected to be white, but it is orange.
  In (6,53), the ground is expected to be yellow, but it is red.
  In (6,54), the ground is expected to be white, but it is yellow.
  In (6,55), the ground is expected to be white, but it is red.
  In (6,56), the ground is expected to be white, but it is red.
  In (6,57), the ground is expected to be white, but it is orange.
  In (6,58), the ground is expected to be white, but it is orange.
  In (6,59), the ground is expected to be white, but it is orange.
  In (6,60), the ground is expected to be white, but it is red.
  In (6,61), the ground is expected to be white, but it is green.
  In (6,62), the ground is expected to be white, but it is cyan.
  In (6,63), the ground is expected to be white, but it is cyan.
  In (6,65), the ground is expected to be white, but it is green.
  In (6,66), the ground is expected to be white, but it is red.
  In (6,67), the ground is expected to be white, but it is green.
